OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
SYK US 09/21/18 C170 Equity,7/23/2018,,174.6900024,8.5,1.746900024,8.81,20.61
SYK US 09/21/18 C170 Equity,7/24/2018,,173.91000369999998,7.69999981,1.7391000369999998,8.0,19.69
SYK US 09/21/18 C170 Equity,7/25/2018,,169.91999819999995,4.5999999,1.699199982,4.91,17.11
SYK US 09/21/18 C170 Equity,7/26/2018,,171.4799957,5.4000001,1.714799957,5.7,17.0
SYK US 09/21/18 C170 Equity,7/27/2018,,168.96000669999995,4.0999998999999985,1.6896000669999998,4.41,17.43
SYK US 09/21/18 C170 Equity,7/30/2018,,164.83000180000005,2.4000001,1.6483000180000005,2.5,17.39
SYK US 09/21/18 C170 Equity,7/31/2018,,163.2299957,1.75,1.632299957,1.9,17.2
SYK US 09/21/18 C170 Equity,8/1/2018,,164.97000119999996,2.20000005,1.6497000119999998,2.35,16.89
SYK US 09/21/18 C170 Equity,8/2/2018,,166.49499509999995,2.54999995,1.664949951,2.66,15.93
SYK US 09/21/18 C170 Equity,8/3/2018,,164.9799957,1.95000005,1.649799957,2.05,15.9
SYK US 09/21/18 C170 Equity,8/6/2018,,166.22000119999996,2.20000005,1.6622000119999998,2.41,16.05
SYK US 09/21/18 C170 Equity,8/7/2018,,165.28999330000005,1.79999995,1.6528999330000005,1.96,15.69
SYK US 09/21/18 C170 Equity,8/8/2018,,166.25,2.0,1.6625,2.21,15.48
SYK US 09/21/18 C170 Equity,8/9/2018,,167.03999330000005,2.20000005,1.670399933,2.41,15.2
SYK US 09/21/18 C170 Equity,8/10/2018,,165.88000490000005,1.95000005,1.658800049,2.05,15.8
SYK US 09/21/18 C170 Equity,8/13/2018,,166.03999330000005,2.0,1.660399933,2.1,16.42
SYK US 09/21/18 C170 Equity,8/14/2018,,166.1799927,1.89999998,1.661799927,2.05,16.16
SYK US 09/21/18 C170 Equity,8/15/2018,,166.8600006,2.20000005,1.668600006,2.35,16.62
SYK US 09/21/18 C170 Equity,8/16/2018,,168.6000061,2.70000005,1.6860000609999999,2.91,15.95
SYK US 09/21/18 C170 Equity,8/17/2018,,170.0,3.20000005,1.7,3.71,16.71
SYK US 09/21/18 C170 Equity,8/20/2018,,170.0,3.20000005,1.7,3.71,16.71
SYMC US 01/18/19 C18 Equity,9/16/2016,,25.20000076,7.849999900000001,0.2520000076,9.06,37.17
SYMC US 01/18/19 C18 Equity,9/19/2016,,24.85000038,7.650000099999999,0.24850000379999998,9.25,41.61
SYMC US 01/18/19 C18 Equity,9/20/2016,,24.72500038,7.44999981,0.24725000379999998,8.95,39.89
SYMC US 01/18/19 C18 Equity,9/21/2016,,25.07999992,7.599999900000001,0.2507999992,9.25,40.52
SYMC US 01/18/19 C18 Equity,9/22/2016,,25.07999992,7.69999981,0.2507999992,9.15,38.94
SYMC US 01/18/19 C18 Equity,9/23/2016,,25.05500031,7.599999900000001,0.25055000310000003,9.25,39.81
SYMC US 01/18/19 C18 Equity,9/26/2016,,24.97999954,7.599999900000001,0.2497999954,9.0,38.6
SYMC US 01/18/19 C18 Equity,9/27/2016,,25.13500023,7.650000099999999,0.2513500023,9.0,37.83
SYMC US 01/18/19 C18 Equity,9/28/2016,,25.28000069,7.75,0.25280000690000004,9.06,37.22
SYMC US 01/18/19 C18 Equity,9/29/2016,,25.02000046,7.69999981,0.2502000046,8.9,37.6
SYMC US 01/18/19 C18 Equity,9/30/2016,,25.09000015,7.650000099999999,0.25090000149999997,9.11,38.87
SYMC US 01/18/19 C18 Equity,10/3/2016,,25.10000038,7.69999981,0.2510000038,9.0,37.83
SYMC US 01/18/19 C18 Equity,10/4/2016,,25.27000046,7.80000019,0.2527000046,9.0,36.52
SYMC US 01/18/19 C18 Equity,10/5/2016,,25.42000008,8.0,0.2542000008,9.2,37.34
SYMC US 01/18/19 C18 Equity,10/6/2016,,25.28000069,8.0,0.25280000690000004,9.11,37.53
SYMC US 01/18/19 C18 Equity,10/7/2016,,25.25,7.94999981,0.2525,9.11,37.75
SYMC US 01/18/19 C18 Equity,10/10/2016,,25.22999954,7.849999900000001,0.25229999540000003,9.06,37.34
SYMC US 01/18/19 C18 Equity,10/11/2016,,25.04999924,7.80000019,0.2504999924,8.75,35.95
SYMC US 01/18/19 C18 Equity,10/12/2016,,24.96500015,7.599999900000001,0.2496500015,8.9,38.35
SYMC US 01/18/19 C18 Equity,10/13/2016,,24.27000046,7.099999900000001,0.24270000460000002,8.36,38.19
SYMC US 01/18/19 C18 Equity,10/14/2016,,24.13500023,7.19999981,0.2413500023,8.15,36.92
SYMC US 01/18/19 C18 Equity,10/17/2016,,24.17499924,7.099999900000001,0.2417499924,8.31,38.59
