OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
MUR US 01/18/19 C15 Equity,1/30/2017,,16.0,13.5,0.7071,28.56,28.55
MUR US 01/18/19 C15 Equity,1/31/2017,,15.19999981,12.89999962,0.59391,28.89,28.88
MUR US 01/18/19 C15 Equity,2/1/2017,,15.5,12.0,0.63648,28.86,28.85
MUR US 01/18/19 C15 Equity,2/2/2017,,15.69999981,12.0,0.6390699999999999,29.28,28.85
MUR US 01/18/19 C15 Equity,2/3/2017,,15.69999981,12.0,0.60163,29.7,28.85
MUR US 01/18/19 C15 Equity,2/6/2017,,15.89999962,12.0,0.67976,29.05,28.85
MUR US 01/18/19 C15 Equity,2/7/2017,,15.10000038,12.69999981,0.68794,27.97,27.96
MUR US 01/18/19 C15 Equity,2/8/2017,,14.19999981,11.89999962,0.56301,28.26,28.25
MUR US 01/18/19 C15 Equity,2/9/2017,,15.0,11.89999962,0.64223,28.22,28.25
MUR US 01/18/19 C15 Equity,2/10/2017,,15.19999981,11.89999962,0.6368100000000001,28.46,28.25
MUR US 01/18/19 C15 Equity,2/13/2017,,14.89999962,11.89999962,0.60728,28.41,28.25
MUR US 01/18/19 C15 Equity,2/14/2017,,15.39999962,12.89999962,0.67757,28.39,28.38
MUR US 01/18/19 C15 Equity,2/15/2017,,15.30000019,12.89999962,0.6916100000000001,28.19,28.38
MUR US 01/18/19 C15 Equity,2/16/2017,,14.89999962,12.80000019,0.65747,27.96,27.95
MUR US 01/18/19 C15 Equity,2/17/2017,,14.60000038,12.80000019,0.6169899999999999,28.05,27.95
MUR US 01/18/19 C15 Equity,2/20/2017,,14.60000038,12.80000019,0.6169899999999999,28.05,27.95
MUR US 01/18/19 C15 Equity,2/21/2017,,15.19999981,12.80000019,0.6452600000000001,28.59,27.95
MUR US 01/18/19 C15 Equity,2/22/2017,,15.0,12.80000019,0.7006699999999999,27.73,27.95
MUR US 01/18/19 C15 Equity,2/23/2017,,14.89999962,13.0,0.61806,28.38,28.37
MUR US 01/18/19 C15 Equity,2/24/2017,,14.69999981,13.0,0.62488,28.13,28.37
MUR US 01/18/19 C15 Equity,2/27/2017,,14.89999962,13.0,0.6030800000000001,28.8,28.37
MUR US 01/18/19 C15 Equity,2/28/2017,,14.89999962,12.69999981,0.65045,28.33,28.32
MUR US 01/18/19 C15 Equity,3/1/2017,,15.39999962,12.69999981,0.61221,29.3,28.32
MUR US 01/18/19 C15 Equity,3/2/2017,,14.69999981,12.69999981,0.62969,28.2,28.32
MUR US 01/18/19 C15 Equity,3/3/2017,,14.69999981,12.69999981,0.6451100000000001,28.02,28.32
MUR US 01/18/19 C15 Equity,3/6/2017,,14.5,12.69999981,0.60949,28.21,28.32
MUR US 01/18/19 C15 Equity,3/7/2017,,14.89999962,12.69999981,0.69934,27.74,27.73
MUR US 01/18/19 C15 Equity,3/8/2017,,14.19999981,11.19999981,0.79491,25.89,25.88
MUR US 01/18/19 C15 Equity,3/9/2017,,12.69999981,10.39999962,0.5330600000000001,26.61,26.6
MUR US 01/18/19 C15 Equity,3/10/2017,,12.69999981,11.39999962,0.53417,26.53,26.52
MUR US 01/18/19 C15 Equity,3/13/2017,,12.80000019,11.39999962,0.5696800000000001,26.39,26.52
MUR US 01/18/19 C15 Equity,3/14/2017,,12.10000038,10.69999981,0.5051399999999999,26.28,26.27
MUR US 01/18/19 C15 Equity,3/15/2017,,14.60000038,11.5,0.74602,27.13,27.12
MUR US 01/18/19 C15 Equity,3/16/2017,,13.5,11.89999962,0.59045,27.11,27.1
MUR US 01/18/19 C15 Equity,3/17/2017,,13.39999962,11.89999962,0.57287,27.22,27.21
MUR US 01/18/19 C15 Equity,3/20/2017,,13.10000038,11.5,0.5196500000000001,27.37,27.36
MUR US 01/18/19 C15 Equity,3/21/2017,,13.69999981,11.69999981,0.68081,26.49,26.48
MUR US 01/18/19 C15 Equity,3/22/2017,,14.19999981,11.0,0.75626,26.43,26.42
MUR US 01/18/19 C15 Equity,3/23/2017,,12.69999981,10.80000019,0.60985,26.06,26.05
MUR US 01/18/19 C15 Equity,3/24/2017,,12.39999962,10.69999981,0.59853,25.78,25.77
MUR US 01/18/19 C15 Equity,3/27/2017,,12.69999981,10.19999981,0.62085,26.26,26.25
MUR US 01/18/19 C15 Equity,3/28/2017,,13.10000038,11.10000038,0.55061,27.3,27.29
MUR US 01/18/19 C15 Equity,3/29/2017,,15.5,11.5,0.76884,28.26,28.25
MUR US 01/18/19 C15 Equity,3/30/2017,,14.80000019,12.80000019,0.65985,28.31,28.3
MUR US 01/18/19 C15 Equity,3/31/2017,,14.69999981,12.69999981,0.6141300000000001,28.62,28.61
MUR US 01/18/19 C15 Equity,4/3/2017,,14.80000019,13.0,0.64951,28.27,28.26
MUR US 01/18/19 C15 Equity,4/4/2017,,14.80000019,12.69999981,0.60944,28.71,28.7
MUR US 01/18/19 C15 Equity,4/5/2017,,15.0,12.19999981,0.71797,27.9,27.89
MUR US 01/18/19 C15 Equity,4/6/2017,,14.19999981,12.60000038,0.5714600000000001,28.27,28.26
MUR US 01/18/19 C15 Equity,4/7/2017,,14.30000019,12.60000038,0.631,27.87,27.86
MUR US 01/18/19 C15 Equity,4/10/2017,,14.39999962,12.60000038,0.5935699999999999,28.36,28.35
MUR US 01/18/19 C15 Equity,4/11/2017,,14.30000019,12.69999981,0.5833200000000001,28.31,28.3
MUR US 01/18/19 C15 Equity,4/12/2017,,15.0,12.39999962,0.69652,28.11,28.1
MUR US 01/18/19 C15 Equity,4/13/2017,,14.30000019,12.30000019,0.6655199999999999,27.58,27.57
MUR US 01/18/19 C15 Equity,4/14/2017,,14.30000019,12.30000019,0.6655199999999999,27.58,27.57
MUR US 01/18/19 C15 Equity,4/17/2017,,13.69999981,12.0,0.54683,27.9,27.89
MUR US 01/18/19 C15 Equity,4/18/2017,,14.39999962,11.80000019,0.6747,27.74,27.73
MUR US 01/18/19 C15 Equity,4/19/2017,,14.60000038,11.39999962,0.7782100000000001,26.85,26.84
MUR US 01/18/19 C15 Equity,4/20/2017,,13.10000038,11.39999962,0.59607,26.8,26.79
MUR US 01/18/19 C15 Equity,4/21/2017,,13.5,11.39999962,0.6357,27.03,27.02
MUR US 01/18/19 C15 Equity,4/24/2017,,13.0,11.60000038,0.5775199999999999,26.77,26.76
MUR US 01/18/19 C15 Equity,4/25/2017,,13.10000038,11.19999981,0.53637,27.4,27.39
MUR US 01/18/19 C15 Equity,4/26/2017,,14.0,11.60000038,0.6824600000000001,27.24,27.23
MUR US 01/18/19 C15 Equity,4/27/2017,,13.0,11.10000038,0.6271,26.45,26.44
MUR US 01/18/19 C15 Equity,4/28/2017,,12.80000019,10.89999962,0.62271,26.2,26.19
MUR US 01/18/19 C15 Equity,5/1/2017,,12.5,10.5,0.5918800000000001,26.12,26.11
MUR US 01/18/19 C15 Equity,5/2/2017,,12.30000019,10.60000038,0.59714,25.88,25.87
MUR US 01/18/19 C15 Equity,5/3/2017,,12.5,9.69999981,0.64472,25.74,25.73
MUR US 01/18/19 C15 Equity,5/4/2017,,11.30000019,9.30000019,0.53018,25.31,25.3
MUR US 01/18/19 C15 Equity,5/5/2017,,11.89999962,10.30000019,0.5131800000000001,26.23,26.22
MUR US 01/18/19 C15 Equity,5/8/2017,,12.60000038,10.89999962,0.5433399999999999,26.86,26.85
MUR US 01/18/19 C15 Equity,5/9/2017,,12.69999981,11.10000038,0.5773199999999999,26.64,26.63
MUR US 01/18/19 C15 Equity,5/10/2017,,13.80000019,11.5,0.6452600000000001,27.41,27.4
MUR US 01/18/19 C15 Equity,5/11/2017,,13.39999962,11.80000019,0.61459,26.9,26.89
MUR US 01/18/19 C15 Equity,5/12/2017,,12.89999962,11.60000038,0.58082,26.57,26.56
MUR US 01/18/19 C15 Equity,5/15/2017,,13.60000038,11.60000038,0.66683,26.62,26.61
MUR US 01/18/19 C15 Equity,5/16/2017,,12.80000019,11.30000019,0.6118199999999999,26.13,26.12
MUR US 01/18/19 C15 Equity,5/17/2017,,12.80000019,10.5,0.6366700000000001,25.98,25.97
MUR US 01/18/19 C15 Equity,5/18/2017,,12.5,10.60000038,0.60632,25.95,25.94
MUR US 01/18/19 C15 Equity,5/19/2017,,12.69999981,11.30000019,0.53486,26.81,26.8
MUR US 01/18/19 C15 Equity,5/22/2017,,13.19999981,11.39999962,0.60883,26.8,26.79
MUR US 01/18/19 C15 Equity,5/23/2017,,12.89999962,11.19999981,0.59991,26.48,26.47
MUR US 01/18/19 C15 Equity,5/24/2017,,12.5,11.19999981,0.5708300000000001,26.24,26.23
MUR US 01/18/19 C15 Equity,5/25/2017,,11.80000019,10.30000019,0.60285,25.13,25.12
MUR US 01/18/19 C15 Equity,5/26/2017,,11.60000038,10.30000019,0.5582,25.3,25.29
MUR US 01/18/19 C15 Equity,5/29/2017,,11.60000038,10.30000019,0.5582,25.3,25.29
MUR US 01/18/19 C15 Equity,5/30/2017,,11.10000038,10.0,0.56975,24.65,24.64
MUR US 01/18/19 C15 Equity,5/31/2017,,10.60000038,9.10000038,0.5379600000000001,24.37,24.36
MUR US 01/18/19 C15 Equity,6/1/2017,,11.10000038,9.80000019,0.5613800000000001,24.77,24.76
MUR US 01/18/19 C15 Equity,6/2/2017,,10.19999981,9.39999962,0.5117100000000001,24.05,24.04
MUR US 01/18/19 C15 Equity,6/5/2017,,10.39999962,9.19999981,0.5279600000000001,24.21,24.2
MUR US 01/18/19 C15 Equity,6/6/2017,,10.80000019,9.10000038,0.5150600000000001,24.82,24.81
MUR US 01/18/19 C15 Equity,6/7/2017,,10.39999962,9.0,0.54087,24.11,24.1
MUR US 01/18/19 C15 Equity,6/8/2017,,10.30000019,9.39999962,0.53973,24.03,24.02
MUR US 01/18/19 C15 Equity,6/9/2017,,11.30000019,9.5,0.5459,25.21,25.2
MUR US 01/18/19 C15 Equity,6/12/2017,,11.69999981,10.39999962,0.55372,25.61,25.6
MUR US 01/18/19 C15 Equity,6/13/2017,,12.10000038,10.69999981,0.5268600000000001,26.3,26.29
MUR US 01/18/19 C15 Equity,6/14/2017,,11.39999962,9.89999962,0.59534,24.9,24.89
MUR US 01/18/19 C15 Equity,6/15/2017,,10.60000038,9.5,0.5421199999999999,24.35,24.34
MUR US 01/18/19 C15 Equity,6/16/2017,,11.19999981,9.5,0.50542,25.36,25.35
MUR US 01/18/19 C15 Equity,6/19/2017,,12.0,10.30000019,0.62741,25.4,25.39
MUR US 01/18/19 C15 Equity,6/20/2017,,11.0,9.89999962,0.5456399999999999,24.87,24.86
MUR US 01/18/19 C15 Equity,6/21/2017,,10.80000019,9.5,0.5412100000000001,24.65,24.64
MUR US 01/18/19 C15 Equity,6/22/2017,,10.89999962,9.80000019,0.57338,24.54,24.53
MUR US 01/18/19 C15 Equity,6/23/2017,,10.80000019,9.69999981,0.52245,24.83,24.82
MUR US 01/18/19 C15 Equity,6/26/2017,,10.80000019,9.69999981,0.57494,24.4,24.39
MUR US 01/18/19 C15 Equity,6/27/2017,,10.69999981,9.60000038,0.58144,24.24,24.23
MUR US 01/18/19 C15 Equity,6/28/2017,,11.30000019,9.80000019,0.6108600000000001,24.76,24.75
MUR US 01/18/19 C15 Equity,6/29/2017,,11.89999962,9.60000038,0.5897,25.68,25.67
MUR US 01/18/19 C15 Equity,6/30/2017,,11.80000019,10.39999962,0.57518,25.63,25.62
MUR US 01/18/19 C15 Equity,7/3/2017,,12.19999981,10.89999962,0.5704,26.26,26.25
MUR US 01/18/19 C15 Equity,7/4/2017,,12.19999981,10.89999962,0.5704,26.26,26.25
MUR US 01/18/19 C15 Equity,7/5/2017,,11.30000019,10.39999962,0.54618,25.3,25.29
MUR US 01/18/19 C15 Equity,7/6/2017,,11.5,10.0,0.63189,24.81,24.8
MUR US 01/18/19 C15 Equity,7/7/2017,,10.5,9.60000038,0.52483,24.46,24.45
MUR US 01/18/19 C15 Equity,7/10/2017,,10.60000038,9.69999981,0.53174,24.61,24.6
MUR US 01/18/19 C15 Equity,7/11/2017,,10.60000038,9.80000019,0.53877,24.57,24.56
MUR US 01/18/19 C15 Equity,7/12/2017,,11.39999962,9.60000038,0.63381,24.71,24.7
MUR US 01/18/19 C15 Equity,7/13/2017,,10.89999962,9.80000019,0.52346,25.01,25.0
MUR US 01/18/19 C15 Equity,7/14/2017,,11.30000019,10.10000038,0.53087,25.43,25.42
MUR US 01/18/19 C15 Equity,7/17/2017,,11.19999981,10.19999981,0.5523,25.15,25.14
MUR US 01/18/19 C15 Equity,7/18/2017,,11.10000038,9.80000019,0.59797,24.68,24.67
MUR US 01/18/19 C15 Equity,7/19/2017,,12.10000038,9.39999962,0.54942,26.3,26.29
