OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
COHR US 08/17/18 C180 Equity,8/10/2018,,180.2899933,3.5,1.802899933,4.6,44.05
COHR US 08/17/18 C180 Equity,8/13/2018,,179.33500669999995,2.45000005,1.7933500669999998,3.21,46.34
COHR US 08/17/18 C180 Equity,8/14/2018,,181.4199982,3.20000005,1.814199982,3.91,47.72
COHR US 08/17/18 C180 Equity,8/15/2018,,180.7350006,2.4000001,1.8073500059999998,2.96,47.9
COL US 01/18/19 C100 Equity,9/6/2017,,130.6499939,29.79999924,1.306499939,34.5,24.9
COL US 01/18/19 C100 Equity,9/7/2017,,131.1399994,30.10000038,1.3113999939999998,35.0,25.65
COL US 01/18/19 C100 Equity,9/8/2017,,130.9400024,30.0,1.309400024,34.8,25.64
COL US 01/18/19 C100 Equity,9/11/2017,,130.8099976,30.0,1.3080999759999998,34.5,25.77
COL US 01/18/19 C100 Equity,9/12/2017,,130.9700012,30.0,1.3097000120000002,34.5,25.6
COL US 01/18/19 C100 Equity,9/13/2017,,131.2400055,30.5,1.312400055,35.0,26.04
COL US 01/18/19 C100 Equity,9/14/2017,,131.3500061,30.5,1.3135000609999998,35.0,26.85
COL US 01/18/19 C100 Equity,9/15/2017,,131.0099945,30.5,1.3100999450000002,34.8,26.13
COL US 01/18/19 C100 Equity,9/18/2017,,130.4799957,30.0,1.304799957,34.21,24.62
COL US 01/18/19 C100 Equity,9/19/2017,,130.4600067,29.5,1.304600067,34.0,24.37
COL US 01/18/19 C100 Equity,9/20/2017,,130.1900024,29.5,1.301900024,34.0,25.25
COL US 01/18/19 C100 Equity,9/21/2017,,130.3099976,30.0,1.303099976,34.41,25.45
COL US 01/18/19 C100 Equity,9/22/2017,,130.5200043,30.0,1.305200043,34.41,24.24
