OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
LM US 01/18/19 C18 Equity,8/2/2017,,22.10000038,19.5,0.7541500000000001,38.19,38.18
LM US 01/18/19 C18 Equity,8/3/2017,,21.20000076,19.0,0.6331,38.25,38.24
LM US 01/18/19 C18 Equity,8/4/2017,,21.79999924,19.20000076,0.7386399999999999,38.05,38.04
LM US 01/18/19 C18 Equity,8/7/2017,,21.79999924,19.79999924,0.6575399999999999,38.8,38.79
LM US 01/18/19 C18 Equity,8/8/2017,,21.5,19.60000038,0.66342,38.42,38.41
LM US 01/18/19 C18 Equity,8/9/2017,,21.89999962,19.60000038,0.74531,38.21,38.2
LM US 01/18/19 C18 Equity,8/10/2017,,20.70000076,18.79999924,0.6804000000000001,37.42,37.41
LM US 01/18/19 C18 Equity,8/11/2017,,20.89999962,19.0,0.70313,37.48,37.47
LM US 01/18/19 C18 Equity,8/14/2017,,21.60000038,19.0,0.7356999999999999,38.01,38.0
LM US 01/18/19 C18 Equity,8/15/2017,,21.29999924,19.60000038,0.64877,38.35,38.34
LM US 01/18/19 C18 Equity,8/16/2017,,21.10000038,19.39999962,0.6482100000000001,38.13,38.12
LM US 01/18/19 C18 Equity,8/17/2017,,20.20000076,18.5,0.65858,37.05,37.04
LM US 01/18/19 C18 Equity,8/18/2017,,20.29999924,18.70000076,0.64628,37.3,37.29
LM US 01/18/19 C18 Equity,8/21/2017,,20.10000038,18.39999962,0.6436799999999999,37.12,37.11
LM US 01/18/19 C18 Equity,8/22/2017,,20.39999962,18.70000076,0.6364500000000001,37.51,37.5
LM US 01/18/19 C18 Equity,8/23/2017,,20.39999962,18.79999924,0.66581,37.3,37.29
LM US 01/18/19 C18 Equity,8/24/2017,,20.39999962,18.70000076,0.65932,37.35,37.34
LM US 01/18/19 C18 Equity,8/25/2017,,20.70000076,18.60000038,0.69388,37.41,37.4
LM US 01/18/19 C18 Equity,8/28/2017,,19.89999962,18.29999924,0.6165999999999999,37.12,37.11
LM US 01/18/19 C18 Equity,8/29/2017,,20.89999962,17.70000076,0.7989399999999999,36.78,36.77
LM US 01/18/19 C18 Equity,8/30/2017,,20.39999962,17.70000076,0.6490600000000001,37.5,37.49
LM US 01/18/19 C18 Equity,8/31/2017,,21.39999962,19.5,0.70628,38.19,38.18
LM US 01/18/19 C18 Equity,9/1/2017,,22.60000038,19.70000076,0.83119,38.47,38.46
LM US 01/18/19 C18 Equity,9/4/2017,,22.60000038,19.70000076,0.83119,38.47,38.46
LM US 01/18/19 C18 Equity,9/5/2017,,19.79999924,18.10000038,0.6711199999999999,36.62,36.61
LM US 01/18/19 C18 Equity,9/6/2017,,19.70000076,18.10000038,0.6411600000000001,36.76,36.75
LM US 01/18/19 C18 Equity,9/7/2017,,19.70000076,17.39999962,0.66743,36.57,36.56
LM US 01/18/19 C18 Equity,9/8/2017,,19.39999962,17.0,0.6502500000000001,36.39,36.38
LM US 01/18/19 C18 Equity,9/11/2017,,20.5,18.79999924,0.6685300000000001,37.51,37.5
