OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
WEX US 02/15/19 C110 Equity,7/4/2018,,86.09999847,82.40000153,0.56734,191.12,191.11
WEX US 02/15/19 C110 Equity,7/5/2018,,86.09999847,81.69999695,0.55897,191.26,191.25
WEX US 02/15/19 C110 Equity,7/6/2018,,87.69999695,83.30000305,0.57096,192.89,192.88
WEX US 02/15/19 C110 Equity,7/9/2018,,88.90000153,84.80000305,0.57477,194.11,194.1
WEX US 02/15/19 C110 Equity,7/10/2018,,88.90000153,85.59999847,0.55771,194.34,194.33
WEX US 02/15/19 C110 Equity,7/11/2018,,87.80000305,83.59999847,0.5945,192.51,192.5
WEX US 02/15/19 C110 Equity,7/12/2018,,90.80000305,86.09999847,0.60185,195.64,195.63
WEX US 02/15/19 C110 Equity,7/13/2018,,91.0,86.09999847,0.60019,195.92,195.91
WEX US 02/15/19 C110 Equity,7/16/2018,,88.90000153,87.19999695,0.5672699999999999,194.14,194.13
WEX US 02/15/19 C110 Equity,7/17/2018,,90.80000305,86.0,0.58909,196.06,196.05
WEX US 02/15/19 C110 Equity,7/18/2018,,90.59999847,86.19999695,0.60269,195.62,195.61
WEX US 02/15/19 C110 Equity,7/19/2018,,89.59999847,85.30000305,0.5603199999999999,195.37,195.36
WEX US 02/15/19 C110 Equity,7/20/2018,,90.90000153,86.5,0.5921500000000001,196.26,196.25
WEX US 02/15/19 C110 Equity,7/23/2018,,91.80000305,87.09999847,0.5980300000000001,197.04,197.03
WEX US 02/15/19 C110 Equity,7/24/2018,,90.40000153,86.0,0.59015,195.64,195.63
WEX US 02/15/19 C110 Equity,7/25/2018,,93.40000153,88.90000153,0.6134000000000001,198.51,198.5
WEX US 02/15/19 C110 Equity,7/26/2018,,92.0,87.69999695,0.58818,197.47,197.46
WEX US 02/15/19 C110 Equity,7/27/2018,,87.40000153,82.69999695,0.5756100000000001,192.64,192.63
WEX US 02/15/19 C110 Equity,7/30/2018,,84.80000305,80.30000305,0.57022,189.98,189.97
WEX US 02/15/19 C110 Equity,7/31/2018,,84.59999847,80.0,0.57143,189.96,189.95
WEX US 02/15/19 C110 Equity,8/1/2018,,85.40000153,81.19999695,0.59529,190.42,190.41
WEX US 02/15/19 C110 Equity,8/2/2018,,82.30000305,69.5,0.5321600000000001,188.51,188.5
WEX US 02/15/19 C110 Equity,8/3/2018,,82.0,77.5,0.56453,187.64,187.63
WEX US 02/15/19 C110 Equity,8/6/2018,,84.30000305,80.0,0.60221,189.79,189.78
WEX US 02/15/19 C110 Equity,8/7/2018,,83.59999847,79.5,0.59838,189.04,189.03
