OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
LULU US 01/18/19 C100 Equity,12/13/2017,,4.5,1.79999995,0.36772,74.19,74.18
LULU US 01/18/19 C100 Equity,12/14/2017,,3.29999995,3.04999995,0.31569,74.79,74.78
LULU US 01/18/19 C100 Equity,12/15/2017,,3.79999995,3.29999995,0.32492,75.77,75.76
LULU US 01/18/19 C100 Equity,12/18/2017,,4.05000019,3.45000005,0.32629,76.52,76.51
LULU US 01/18/19 C100 Equity,12/19/2017,,3.70000005,2.68000007,0.31223,76.59,76.58
LULU US 01/18/19 C100 Equity,12/20/2017,,4.0,3.20000005,0.32098000000000004,76.92,76.91
LULU US 01/18/19 C100 Equity,12/21/2017,,4.19999981,3.54999995,0.32203000000000004,77.71,77.7
LULU US 01/18/19 C100 Equity,12/22/2017,,4.6500001,2.21000004,0.33126999999999995,78.38,78.37
LULU US 01/18/19 C100 Equity,12/25/2017,,4.6500001,2.21000004,0.33126999999999995,78.38,78.37
LULU US 01/18/19 C100 Equity,12/26/2017,,4.75,4.4000001,0.32724000000000003,79.45,79.44
LULU US 01/18/19 C100 Equity,12/27/2017,,4.69999981,4.19999981,0.32431,79.28,79.27
LULU US 01/18/19 C100 Equity,12/28/2017,,4.5999999,4.05000019,0.31773,79.56,79.55
LULU US 01/18/19 C100 Equity,12/29/2017,,4.5,3.9000001,0.3245,78.64,78.63
LULU US 01/18/19 C100 Equity,1/1/2018,,4.5,3.9000001,0.3245,78.64,78.63
LULU US 01/18/19 C100 Equity,1/2/2018,,4.5999999,4.30000019,0.32020000000000004,79.7,79.69
LULU US 01/18/19 C100 Equity,1/3/2018,,4.6500001,3.8499999,0.33312,78.59,78.58
LULU US 01/18/19 C100 Equity,1/4/2018,,4.6500001,4.19999981,0.32008000000000003,79.88,79.87
LULU US 01/18/19 C100 Equity,1/5/2018,,4.5999999,4.0999998999999985,0.32267,79.45,79.44
LULU US 01/18/19 C100 Equity,1/8/2018,,4.25,3.95000005,0.31532,78.99,78.98
LULU US 01/18/19 C100 Equity,1/9/2018,,4.5999999,3.70000005,0.32265,79.57,79.56
LULU US 01/18/19 C100 Equity,1/10/2018,,4.1500001000000015,3.75,0.31525,78.82,78.81
LULU US 01/18/19 C100 Equity,1/11/2018,,4.1500001000000015,3.70000005,0.31504,78.93,78.92
LULU US 01/18/19 C100 Equity,1/12/2018,,3.8499999,3.70000005,0.30558,78.8,78.79
LULU US 01/18/19 C100 Equity,1/15/2018,,3.8499999,3.70000005,0.30558,78.8,78.79
LULU US 01/18/19 C100 Equity,1/16/2018,,3.4000001,3.04999995,0.31091,76.71,76.7
LULU US 01/18/19 C100 Equity,1/17/2018,,3.70000005,3.0,0.31237,77.9,77.89
LULU US 01/18/19 C100 Equity,1/18/2018,,3.75,3.3499999,0.31739,77.6,77.59
