OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
UTX US 01/18/19 C125 Equity,10/12/2017,,118.8949966,6.30000019,1.188949966,6.6,17.59
UTX US 01/18/19 C125 Equity,10/13/2017,,118.8099976,6.19999981,1.188099976,6.56,17.59
UTX US 01/18/19 C125 Equity,10/16/2017,,119.0299988,6.25,1.1902999879999998,6.5,17.37
UTX US 01/18/19 C125 Equity,10/17/2017,,119.3399963,6.4000001,1.193399963,6.66,17.39
UTX US 01/18/19 C125 Equity,10/18/2017,,119.1200028,6.25,1.191200028,6.5,17.29
UTX US 01/18/19 C125 Equity,10/19/2017,,119.4599991,6.3499999,1.1945999909999998,6.7,17.46
UTX US 01/18/19 C125 Equity,10/20/2017,,120.8799973,7.05000019,1.2087999729999999,7.31,17.38
UTX US 01/18/19 C125 Equity,10/23/2017,,120.9550018,7.05000019,1.2095500179999998,7.56,17.84
UTX US 01/18/19 C125 Equity,10/24/2017,,119.7649994,6.44999981,1.1976499939999998,6.7,17.26
UTX US 01/18/19 C125 Equity,10/25/2017,,119.0049973,6.0999999,1.190049973,6.45,17.45
UTX US 01/18/19 C125 Equity,10/26/2017,,119.949997,6.599999900000001,1.19949997,6.91,17.57
UTX US 01/18/19 C125 Equity,10/27/2017,,119.1100006,6.0999999,1.1911000059999999,6.41,17.33
UTX US 01/18/19 C125 Equity,10/30/2017,,119.9899979,6.599999900000001,1.199899979,6.81,17.41
UTX US 01/18/19 C125 Equity,10/31/2017,,119.7979965,6.5,1.197979965,6.85,17.69
UTX US 01/18/19 C125 Equity,11/1/2017,,120.1900024,6.599999900000001,1.201900024,6.95,17.54
UTX US 01/18/19 C125 Equity,11/2/2017,,121.3949966,7.19999981,1.213949966,7.45,17.5
UTX US 01/18/19 C125 Equity,11/3/2017,,121.0699997,7.0,1.210699997,7.25,17.41
UTX US 01/18/19 C125 Equity,11/6/2017,,120.4599991,6.69999981,1.2045999909999998,6.91,17.32
UTX US 01/18/19 C125 Equity,11/7/2017,,120.7600021,6.849999900000001,1.207600021,7.1,17.49
UTX US 01/18/19 C125 Equity,11/8/2017,,120.3499985,6.650000099999999,1.203499985,6.91,17.5
UTX US 01/18/19 C125 Equity,11/9/2017,,118.3899994,5.80000019,1.1838999940000001,6.06,17.52
UTX US 01/18/19 C125 Equity,11/10/2017,,118.1070023,5.69999981,1.181070023,5.95,17.57
UTX US 01/18/19 C125 Equity,11/13/2017,,117.0199966,5.25,1.170199966,5.56,17.69
UTX US 01/18/19 C125 Equity,11/14/2017,,118.9000015,6.1500001,1.189000015,6.35,17.8
UTX US 01/18/19 C125 Equity,11/15/2017,,117.7399979,5.6500001,1.177399979,5.85,17.79
UTX US 01/18/19 C125 Equity,11/16/2017,,117.9100037,5.8499999,1.179100037,6.1,17.56
UTX US 01/18/19 C125 Equity,11/17/2017,,116.5800018,5.4000001,1.165800018,5.56,17.55
UTX US 01/18/19 C125 Equity,11/20/2017,,116.4700012,5.19999981,1.1647000120000002,5.45,17.49
UTX US 01/18/19 C125 Equity,11/21/2017,,117.0999985,5.4000001,1.170999985,5.66,17.43
UTX US 01/18/19 C125 Equity,11/22/2017,,116.7399979,5.25,1.167399979,5.41,17.24
UTX US 01/18/19 C125 Equity,11/23/2017,,116.7399979,5.25,1.167399979,5.41,17.24
UTX US 01/18/19 C125 Equity,11/24/2017,,116.9100037,5.1500001,1.169100037,5.56,17.46
UTX US 01/18/19 C125 Equity,11/27/2017,,117.1500015,5.19999981,1.171500015,5.5,17.18
UTX US 01/18/19 C125 Equity,11/28/2017,,117.6100006,5.4000001,1.176100006,5.66,17.13
UTX US 01/18/19 C125 Equity,11/29/2017,,118.1949997,5.69999981,1.181949997,6.0,17.39
