OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
DUK US 01/18/19 C65 Equity,7/16/2018,,80.81240082,15.80000019,0.8081240082,16.11,24.14
DUK US 01/18/19 C65 Equity,7/17/2018,,80.66999817,15.69999981,0.8066999817,16.0,24.91
DUK US 01/18/19 C65 Equity,7/18/2018,,80.44999695,15.5,0.8044999695,15.9,26.58
DUK US 01/18/19 C65 Equity,7/19/2018,,81.19499969,16.10000038,0.8119499969,17.8,37.96
DUK US 01/18/19 C65 Equity,7/20/2018,,80.68000031,15.19999981,0.8068000031,16.11,26.99
DUK US 01/18/19 C65 Equity,7/23/2018,,80.08000183,15.10000038,0.8008000183,15.4,25.4
DUK US 01/18/19 C65 Equity,7/24/2018,,79.93000031,14.5,0.7993000030999999,15.2,24.64
DUK US 01/18/19 C65 Equity,7/25/2018,,80.11000061,15.0,0.8011000061,15.5,26.71
DUK US 01/18/19 C65 Equity,7/26/2018,,81.16000366,15.60000038,0.8116000366,16.4,25.83
DUK US 01/18/19 C65 Equity,7/27/2018,,81.01999664,15.80000019,0.8101999664,16.21,24.73
DUK US 01/18/19 C65 Equity,7/30/2018,,80.73999786,15.69999981,0.8073999786,16.21,29.12
DUK US 01/18/19 C65 Equity,7/31/2018,,81.61499786,16.29999924,0.8161499786,16.9,28.22
DUK US 01/18/19 C65 Equity,8/1/2018,,81.13999939,15.69999981,0.8113999939000001,16.3,25.68
DUK US 01/18/19 C65 Equity,8/2/2018,,80.59500122,15.39999962,0.8059500122,15.81,26.37
DUK US 01/18/19 C65 Equity,8/3/2018,,81.55999756,16.29999924,0.8155999756,17.0,31.15
DUK US 01/18/19 C65 Equity,8/6/2018,,81.09999847,15.89999962,0.8109999847,17.0,35.11
DUK US 01/18/19 C65 Equity,8/7/2018,,80.84999847,15.10000038,0.8084999847000001,16.11,28.44
DUK US 01/18/19 C65 Equity,8/8/2018,,80.51000214,15.30000019,0.8051000213999999,15.7,27.64
DUK US 01/18/19 C65 Equity,8/9/2018,,80.73000336,13.30000019,0.8073000336,16.3,32.22
DUK US 01/18/19 C65 Equity,8/10/2018,,80.91390228,15.80000019,0.8091390228,16.11,28.63
DUK US 01/18/19 C65 Equity,8/13/2018,,80.93000031,15.80000019,0.8093000030999999,16.3,30.99
DUK US 01/18/19 C65 Equity,8/14/2018,,81.20500183,16.10000038,0.8120500183,16.4,29.6
DUK US 01/18/19 C65 Equity,8/15/2018,,81.91000366,16.70000076,0.8191000366,17.11,30.58
DVA US 01/18/19 C70 Equity,2/21/2017,,68.99900055,5.0999999,0.6899900055,8.81,23.48
DVA US 01/18/19 C70 Equity,2/22/2017,,69.08499908,7.0,0.6908499908,9.5,25.04
DVA US 01/18/19 C70 Equity,2/23/2017,,68.90000153,7.30000019,0.6890000153,8.5,22.49
