OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
AR US 01/18/19 C20 Equity,7/5/2017,,4.9000001,3.79999995,0.4219,20.99,20.98
AR US 01/18/19 C20 Equity,7/6/2017,,4.5999999,4.0,0.39655,20.83,20.82
AR US 01/18/19 C20 Equity,7/7/2017,,4.30000019,3.9000001,0.37586,20.67,20.66
AR US 01/18/19 C20 Equity,7/10/2017,,4.80000019,4.0,0.39342,21.3,21.29
AR US 01/18/19 C20 Equity,7/11/2017,,4.80000019,4.5,0.3777,21.53,21.52
AR US 01/18/19 C20 Equity,7/12/2017,,5.0,4.30000019,0.39376,21.63,21.62
AR US 01/18/19 C20 Equity,7/13/2017,,5.0,4.30000019,0.38114,21.82,21.81
AR US 01/18/19 C20 Equity,7/14/2017,,5.19999981,4.5999999,0.39214,21.98,21.97
AR US 01/18/19 C20 Equity,7/17/2017,,5.0999999,4.69999981,0.38341,21.89,21.88
AR US 01/18/19 C20 Equity,7/18/2017,,4.9000001,4.4000001,0.37847,21.63,21.62
AR US 01/18/19 C20 Equity,7/19/2017,,5.30000019,4.4000001,0.37641,22.14,22.13
AR US 01/18/19 C20 Equity,7/20/2017,,5.0,4.19999981,0.40355,21.33,21.32
AR US 01/18/19 C20 Equity,7/21/2017,,4.5999999,4.19999981,0.37529,21.16,21.15
AR US 01/18/19 C20 Equity,7/24/2017,,4.30000019,3.79999995,0.36967,20.8,20.79
AR US 01/18/19 C20 Equity,7/25/2017,,4.69999981,4.0,0.3822,21.27,21.26
AR US 01/18/19 C20 Equity,7/26/2017,,4.5,3.79999995,0.38622,20.95,20.94
AR US 01/18/19 C20 Equity,7/27/2017,,4.80000019,4.4000001,0.38045999999999996,21.49,21.48
AR US 01/18/19 C20 Equity,7/28/2017,,4.5,4.19999981,0.37458,21.12,21.11
AR US 01/18/19 C20 Equity,7/31/2017,,4.19999981,3.79999995,0.37695,20.63,20.62
AR US 01/18/19 C20 Equity,8/1/2017,,3.9000001,3.5,0.36480999999999997,20.31,20.3
AR US 01/18/19 C20 Equity,8/2/2017,,3.70000005,3.29999995,0.37387,19.84,19.83
AR US 01/18/19 C20 Equity,8/3/2017,,3.20000005,2.8499999,0.37394,18.98,18.97
AR US 01/18/19 C20 Equity,8/4/2017,,3.4000001,3.0999999,0.36939,19.46,19.45
AR US 01/18/19 C20 Equity,8/7/2017,,3.29999995,3.0,0.35714,19.5,19.49
AR US 01/18/19 C20 Equity,8/8/2017,,3.0999999,2.70000005,0.36073,18.98,18.97
AR US 01/18/19 C20 Equity,8/9/2017,,2.8499999,2.54999995,0.36454,18.53,18.52
AR US 01/18/19 C20 Equity,8/10/2017,,2.9000001,2.54999995,0.37111,18.54,18.53
AR US 01/18/19 C20 Equity,8/11/2017,,2.8499999,2.5,0.36905,18.5,18.49
AR US 01/18/19 C20 Equity,8/14/2017,,2.8499999,2.5,0.3642800000000001,18.61,18.6
AR US 01/18/19 C20 Equity,8/15/2017,,3.0,2.6500001,0.36772,18.86,18.85
AR US 01/18/19 C20 Equity,8/16/2017,,3.0,2.6500001,0.36863,18.86,18.85
AR US 01/18/19 C20 Equity,8/17/2017,,3.0,2.5999999,0.3886,18.51,18.5
AR US 01/18/19 C20 Equity,8/18/2017,,3.0,2.4000001,0.37176,18.81,18.8
AR US 01/18/19 C20 Equity,8/21/2017,,2.9000001,2.45000005,0.3718199999999999,18.64,18.63
AR US 01/18/19 C20 Equity,8/22/2017,,3.20000005,2.79999995,0.38148,19.05,19.04
AR US 01/18/19 C20 Equity,8/23/2017,,3.79999995,3.0,0.42007,19.54,19.53
AR US 01/18/19 C20 Equity,8/24/2017,,3.5999999,3.20000005,0.38156,19.78,19.77
AR US 01/18/19 C20 Equity,8/25/2017,,3.5,3.0999999,0.37382,19.7,19.69
AR US 01/18/19 C20 Equity,8/28/2017,,3.5,3.0999999,0.37740999999999997,19.63,19.62
AR US 01/18/19 C20 Equity,8/29/2017,,3.29999995,3.0,0.36842,19.42,19.41
AR US 01/18/19 C20 Equity,8/30/2017,,3.29999995,2.9000001,0.37416,19.33,19.32
AR US 01/18/19 C20 Equity,8/31/2017,,3.5,3.0,0.37632,19.69,19.68
AR US 01/18/19 C20 Equity,9/1/2017,,3.5,3.20000005,0.36467,19.88,19.87
AR US 01/18/19 C20 Equity,9/4/2017,,3.5,3.20000005,0.36467,19.88,19.87
AR US 01/18/19 C20 Equity,9/5/2017,,3.5,3.0999999,0.36258,19.91,19.9
AR US 01/18/19 C20 Equity,9/6/2017,,3.5999999,3.20000005,0.37041999999999997,19.96,19.95
AR US 01/18/19 C20 Equity,9/7/2017,,3.5,3.0999999,0.3764,19.71,19.7
AR US 01/18/19 C20 Equity,9/8/2017,,3.20000005,2.75,0.37121,19.28,19.27
AR US 01/18/19 C20 Equity,9/11/2017,,3.4000001,2.95000005,0.37353,19.61,19.6
AR US 01/18/19 C20 Equity,9/12/2017,,3.5999999,3.20000005,0.37129,19.98,19.97
AR US 01/18/19 C20 Equity,9/13/2017,,3.9000001,3.5,0.36637,20.55,20.54
AR US 01/18/19 C20 Equity,9/14/2017,,4.0,3.5,0.3840400000000001,20.45,20.44
AR US 01/18/19 C20 Equity,9/15/2017,,3.9000001,3.5,0.37088000000000004,20.47,20.46
AR US 01/18/19 C20 Equity,9/18/2017,,4.0,3.5,0.37879,20.53,20.52
AR US 01/18/19 C20 Equity,9/19/2017,,3.70000005,3.29999995,0.36117,20.29,20.28
AR US 01/18/19 C20 Equity,9/20/2017,,3.70000005,3.29999995,0.35938000000000003,20.31,20.3
AR US 01/18/19 C20 Equity,9/21/2017,,3.4000001,3.0,0.36532,19.72,19.71
AR US 01/18/19 C20 Equity,9/22/2017,,3.5,3.0999999,0.37057,19.85,19.84
AR US 01/18/19 C20 Equity,9/25/2017,,3.5999999,3.0999999,0.36067,20.16,20.15
AR US 01/18/19 C20 Equity,9/26/2017,,3.79999995,3.4000001,0.36708,20.4,20.39
AR US 01/18/19 C20 Equity,9/27/2017,,3.70000005,3.4000001,0.3591,20.35,20.34
AR US 01/18/19 C20 Equity,9/28/2017,,3.4000001,3.20000005,0.3543,19.91,19.9
AR US 01/18/19 C20 Equity,9/29/2017,,3.4000001,3.20000005,0.35424,19.91,19.9
AR US 01/18/19 C20 Equity,10/2/2017,,3.70000005,3.29999995,0.36509,20.31,20.3
AR US 01/18/19 C20 Equity,10/3/2017,,3.79999995,3.5,0.36543000000000003,20.47,20.46
AR US 01/18/19 C20 Equity,10/4/2017,,4.0,3.5999999,0.37567,20.65,20.64
AR US 01/18/19 C20 Equity,10/5/2017,,3.9000001,3.5,0.37282,20.55,20.54
AR US 01/18/19 C20 Equity,10/6/2017,,3.5999999,3.29999995,0.36114,20.22,20.21
AR US 01/18/19 C20 Equity,10/9/2017,,3.70000005,3.5,0.36342,20.33,20.32
AR US 01/18/19 C20 Equity,10/10/2017,,3.70000005,3.4000001,0.36618,20.32,20.31
AR US 01/18/19 C20 Equity,10/11/2017,,3.5999999,3.29999995,0.36274,20.21,20.2
AR US 01/18/19 C20 Equity,10/12/2017,,3.5999999,3.4000001,0.34759,20.43,20.42
AR US 01/18/19 C20 Equity,10/13/2017,,3.5999999,3.29999995,0.37209,20.09,20.08
AR US 01/18/19 C20 Equity,10/16/2017,,3.20000005,3.0,0.36188,19.55,19.54
AR US 01/18/19 C20 Equity,10/17/2017,,3.29999995,3.0,0.3668,19.66,19.65
AR US 01/18/19 C20 Equity,10/18/2017,,3.29999995,3.0,0.36194,19.72,19.71
AR US 01/18/19 C20 Equity,10/19/2017,,3.20000005,3.0,0.3602900000000001,19.59,19.58
AR US 01/18/19 C20 Equity,10/20/2017,,3.20000005,3.0,0.3688,19.46,19.45
AR US 01/18/19 C20 Equity,10/23/2017,,2.8499999,2.6500001,0.35354,19.1,19.09
AR US 01/18/19 C20 Equity,10/24/2017,,2.79999995,2.5999999,0.35655000000000003,18.97,18.96
AR US 01/18/19 C20 Equity,10/25/2017,,2.5999999,2.3499999,0.36086,18.54,18.53
AR US 01/18/19 C20 Equity,10/26/2017,,2.54999995,2.0999999,0.37973,18.16,18.15
AR US 01/18/19 C20 Equity,10/27/2017,,2.75,2.5,0.36864,18.74,18.73
AR US 01/18/19 C20 Equity,10/30/2017,,2.8499999,2.54999995,0.3682800000000001,18.95,18.94
AR US 01/18/19 C20 Equity,10/31/2017,,3.0999999,2.54999995,0.36724,19.39,19.38
AR US 01/18/19 C20 Equity,11/1/2017,,3.9000001,2.5,0.43951,19.66,19.65
AR US 01/18/19 C20 Equity,11/2/2017,,3.0,2.29999995,0.40535,18.85,18.84
AR US 01/18/19 C20 Equity,11/3/2017,,2.9000001,2.6500001,0.35590000000000005,19.25,19.24
AR US 01/18/19 C20 Equity,11/6/2017,,3.4000001,3.0999999,0.35565,20.1,20.09
AR US 01/18/19 C20 Equity,11/7/2017,,3.20000005,2.75,0.36403,19.65,19.64
AR US 01/18/19 C20 Equity,11/8/2017,,3.0999999,2.8499999,0.3626300000000001,19.51,19.5
AR US 01/18/19 C20 Equity,11/9/2017,,3.4000001,3.0,0.38042,19.78,19.77
AR US 01/18/19 C20 Equity,11/10/2017,,3.9000001,3.29999995,0.40565,20.26,20.25
AR US 01/18/19 C20 Equity,11/13/2017,,3.29999995,3.0999999,0.36274,19.9,19.89
AR US 01/18/19 C20 Equity,11/14/2017,,2.79999995,2.5999999,0.374,18.86,18.85
AR US 01/18/19 C20 Equity,11/15/2017,,3.0,2.6500001,0.39462,18.94,18.93
AR US 01/18/19 C20 Equity,11/16/2017,,2.95000005,2.75,0.36741,19.24,19.23
AR US 01/18/19 C20 Equity,11/17/2017,,3.5999999,3.0999999,0.3989,19.92,19.91
AR US 01/18/19 C20 Equity,11/20/2017,,2.75,2.54999995,0.37413,18.8,18.79
AR US 01/18/19 C20 Equity,11/21/2017,,2.5999999,2.4000001,0.35775,18.78,18.77
AR US 01/18/19 C20 Equity,11/22/2017,,2.5,2.45000005,0.33905,18.9,18.89
AR US 01/18/19 C20 Equity,11/23/2017,,2.5,2.45000005,0.33905,18.9,18.89
AR US 01/18/19 C20 Equity,11/24/2017,,2.45000005,2.25,0.35406999999999994,18.6,18.59
AR US 01/18/19 C20 Equity,11/27/2017,,2.45000005,2.25,0.35477,18.61,18.6
AR US 01/18/19 C20 Equity,11/28/2017,,2.5,2.25,0.36651999999999996,18.55,18.54
AR US 01/18/19 C20 Equity,11/29/2017,,2.54999995,2.3499999,0.35793,18.78,18.77
AR US 01/18/19 C20 Equity,11/30/2017,,2.75,2.1500001,0.36907,18.98,18.97
AR US 01/18/19 C20 Equity,12/1/2017,,2.95000005,2.70000005,0.36874,19.36,19.35
AR US 01/18/19 C20 Equity,12/4/2017,,2.4000001,2.25,0.35046,18.63,18.62
AR US 01/18/19 C20 Equity,12/5/2017,,2.45000005,2.25,0.36216,18.57,18.56
AR US 01/18/19 C20 Equity,12/6/2017,,2.20000005,2.0,0.35482,18.19,18.18
AR US 01/18/19 C20 Equity,12/7/2017,,2.20000005,2.04999995,0.35429,18.2,18.19
AR US 01/18/19 C20 Equity,12/8/2017,,2.25,2.0999999,0.36014,18.2,18.19
AR US 01/18/19 C20 Equity,12/11/2017,,2.6500001,2.45000005,0.3594,19.01,19.0
AR US 01/18/19 C20 Equity,12/12/2017,,2.4000001,2.20000005,0.36036,18.53,18.52
AR US 01/18/19 C20 Equity,12/13/2017,,2.25,2.0999999,0.35764,18.29,18.28
AR US 01/18/19 C20 Equity,12/14/2017,,2.04999995,1.85000002,0.35461,17.93,17.92
AR US 01/18/19 C20 Equity,12/15/2017,,1.89999998,1.75,0.35075,17.66,17.65
AR US 01/18/19 C20 Equity,12/18/2017,,2.0,1.75,0.34365,18.04,18.03
AR US 01/18/19 C20 Equity,12/19/2017,,2.04999995,1.79999995,0.35098,17.99,17.98
AR US 01/18/19 C20 Equity,12/20/2017,,2.0,1.95000005,0.33344,18.2,18.19
AR US 01/18/19 C20 Equity,12/21/2017,,2.25,2.0999999,0.3461,18.52,18.51
AR US 01/18/19 C20 Equity,12/22/2017,,2.29999995,2.0999999,0.34630000000000005,18.62,18.61
AR US 01/18/19 C20 Equity,12/25/2017,,2.29999995,2.0999999,0.34630000000000005,18.62,18.61
AR US 01/18/19 C20 Equity,12/26/2017,,2.54999995,2.3499999,0.34389000000000003,19.15,19.14
AR US 01/18/19 C20 Equity,12/27/2017,,2.5,2.25,0.34522,19.05,19.04
AR US 01/18/19 C20 Equity,12/28/2017,,2.79999995,2.5999999,0.34639000000000003,19.59,19.58
AR US 01/18/19 C20 Equity,12/29/2017,,2.45000005,2.3499999,0.34243,19.02,19.01
AR US 01/18/19 C20 Equity,1/1/2018,,2.45000005,2.3499999,0.34243,19.02,19.01
AR US 01/18/19 C20 Equity,1/2/2018,,2.8499999,2.6500001,0.34149,19.77,19.76
AR US 01/18/19 C20 Equity,1/3/2018,,2.8499999,2.54999995,0.3423,19.77,19.76
AR US 01/18/19 C20 Equity,1/4/2018,,2.8499999,2.6500001,0.3424800000000001,19.79,19.78
AR US 01/18/19 C20 Equity,1/5/2018,,2.5999999,2.4000001,0.33668000000000003,19.43,19.42
AR US 01/18/19 C20 Equity,1/8/2018,,2.75,2.54999995,0.34917000000000004,19.54,19.53
AR US 01/18/19 C20 Equity,1/9/2018,,2.5999999,2.45000005,0.33721999999999996,19.43,19.42
AR US 01/18/19 C20 Equity,1/10/2018,,2.45000005,2.29999995,0.34015,19.12,19.11
AR US 01/18/19 C20 Equity,1/11/2018,,2.79999995,2.54999995,0.3516900000000001,19.58,19.57
AR US 01/18/19 C20 Equity,1/12/2018,,3.20000005,2.79999995,0.38185,19.87,19.86
AR US 01/18/19 C20 Equity,1/15/2018,,3.20000005,2.79999995,0.38185,19.87,19.86
AR US 01/18/19 C20 Equity,1/16/2018,,3.0,2.75,0.35947,19.81,19.8
AR US 01/18/19 C20 Equity,1/17/2018,,3.0,2.75,0.36396,19.76,19.75
AR US 01/18/19 C20 Equity,1/18/2018,,2.5999999,2.45000005,0.34967,19.28,19.27
AR US 01/18/19 C20 Equity,1/19/2018,,2.54999995,2.1500001,0.38108,18.74,18.73
AR US 01/18/19 C20 Equity,1/22/2018,,2.5999999,2.45000005,0.34513000000000005,19.37,19.36
AR US 01/18/19 C20 Equity,1/23/2018,,3.4000001,3.0999999,0.37825,20.3,20.29
AR US 01/18/19 C20 Equity,1/24/2018,,3.29999995,2.79999995,0.37543000000000004,20.19,20.18
AR US 01/18/19 C20 Equity,1/25/2018,,3.0999999,2.6500001,0.3789,19.81,19.8
AR US 01/18/19 C20 Equity,1/26/2018,,3.20000005,2.75,0.37867,19.99,19.98
AR US 01/18/19 C20 Equity,1/29/2018,,2.8499999,2.5,0.377,19.46,19.45
AR US 01/18/19 C20 Equity,1/30/2018,,2.79999995,2.6500001,0.36732,19.51,19.5
AR US 01/18/19 C20 Equity,1/31/2018,,2.9000001,2.45000005,0.38714,19.44,19.43
AR US 01/18/19 C20 Equity,2/1/2018,,2.9000001,2.54999995,0.38518,19.46,19.45
AR US 01/18/19 C20 Equity,2/2/2018,,2.45000005,2.29999995,0.38077,18.69,18.68
AR US 01/18/19 C20 Equity,2/5/2018,,2.4000001,2.0999999,0.41579,18.13,18.12
AR US 01/18/19 C20 Equity,2/6/2018,,2.45000005,2.25,0.40607,18.33,18.32
AR US 01/18/19 C20 Equity,2/7/2018,,2.0,1.70000005,0.38911,17.62,17.61
AR US 01/18/19 C20 Equity,2/8/2018,,1.85000002,1.60000002,0.4050800000000001,17.08,17.07
AR US 01/18/19 C20 Equity,2/9/2018,,2.0,1.60000002,0.42809,17.12,17.11
AR US 01/18/19 C20 Equity,2/12/2018,,1.85000002,1.64999998,0.3862300000000001,17.43,17.42
AR US 01/18/19 C20 Equity,2/13/2018,,1.79999995,1.60000002,0.38112,17.43,17.42
AR US 01/18/19 C20 Equity,2/14/2018,,2.25,2.04999995,0.3889,18.27,18.26
AR US 01/18/19 C20 Equity,2/15/2018,,2.25,2.1500001,0.37256,18.52,18.51
AR US 01/18/19 C20 Equity,2/16/2018,,2.5,2.25,0.37695,18.94,18.93
AR US 01/18/19 C20 Equity,2/19/2018,,2.5,2.25,0.37695,18.94,18.93
AR US 01/18/19 C20 Equity,2/20/2018,,2.3499999,2.1500001,0.38258,18.6,18.59
AR US 01/18/19 C20 Equity,2/21/2018,,2.1500001,2.0,0.37319,18.35,18.34
AR US 01/18/19 C20 Equity,2/22/2018,,2.20000005,2.0,0.37188,18.49,18.48
AR US 01/18/19 C20 Equity,2/23/2018,,2.4000001,2.20000005,0.36971,18.91,18.9
AR US 01/18/19 C20 Equity,2/26/2018,,2.5,2.29999995,0.36656,19.16,19.15
AR US 01/18/19 C20 Equity,2/27/2018,,2.45000005,2.20000005,0.37243,19.01,19.0
AR US 01/18/19 C20 Equity,2/28/2018,,2.45000005,2.1500001,0.38622,18.81,18.8
AR US 01/18/19 C20 Equity,3/1/2018,,2.75,2.5,0.37855,19.5,19.49
AR US 01/18/19 C20 Equity,3/2/2018,,3.0,2.8499999,0.37503000000000003,19.99,19.98
AR US 01/18/19 C20 Equity,3/5/2018,,3.20000005,3.0,0.3737,20.37,20.36
AR US 01/18/19 C20 Equity,3/6/2018,,3.4000001,3.0999999,0.38282,20.57,20.56
AR US 01/18/19 C20 Equity,3/7/2018,,3.5,3.20000005,0.38205,20.75,20.74
AR US 01/18/19 C20 Equity,3/8/2018,,3.20000005,2.9000001,0.38081,20.29,20.28
AR US 01/18/19 C20 Equity,3/9/2018,,3.4000001,3.20000005,0.36275,20.82,20.81
AR US 01/18/19 C20 Equity,3/12/2018,,3.5,3.20000005,0.37621,20.85,20.84
AR US 01/18/19 C20 Equity,3/13/2018,,3.4000001,3.0999999,0.36559,20.81,20.8
AR US 01/18/19 C20 Equity,3/14/2018,,3.4000001,3.0999999,0.36372,20.85,20.84
AR US 01/18/19 C20 Equity,3/15/2018,,3.20000005,2.75,0.38871999999999995,20.3,20.29
AR US 01/18/19 C20 Equity,3/16/2018,,3.0999999,2.79999995,0.36609,20.4,20.39
AR US 01/18/19 C20 Equity,3/19/2018,,2.5999999,2.1500001,0.3641300000000001,19.57,19.56
AR US 01/18/19 C20 Equity,3/20/2018,,2.6500001,2.4000001,0.3621800000000001,19.68,19.67
AR US 01/18/19 C20 Equity,3/21/2018,,2.9000001,2.70000005,0.35855,20.15,20.14
AR US 01/18/19 C20 Equity,3/22/2018,,2.79999995,2.3499999,0.37261,19.85,19.84
AR US 01/18/19 C20 Equity,3/23/2018,,2.5,2.25,0.36917,19.36,19.35
AR US 01/18/19 C20 Equity,3/26/2018,,2.70000005,2.4000001,0.36593,19.76,19.75
AR US 01/18/19 C20 Equity,3/27/2018,,2.3499999,2.1500001,0.36004,19.22,19.21
AR US 01/18/19 C20 Equity,3/28/2018,,2.4000001,2.20000005,0.36855,19.21,19.2
