OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
AKAM US 1/18/2019 C77.5 Equity,4/17/2018,,6.849999900000001,5.94999981,0.33329000000000003,72.48,72.47
AKAM US 1/18/2019 C77.5 Equity,4/18/2018,,6.69999981,6.0,0.31966,72.87,72.86
AKAM US 1/18/2019 C77.5 Equity,4/19/2018,,6.599999900000001,5.94999981,0.32568,72.38,72.37
AKAM US 1/18/2019 C77.5 Equity,4/20/2018,,7.849999900000001,5.19999981,0.39798,71.27,71.26
AKAM US 1/18/2019 C77.5 Equity,4/23/2018,,6.0,5.30000019,0.31726,71.69,71.68
AKAM US 1/18/2019 C77.5 Equity,4/24/2018,,5.75,5.05000019,0.32156,70.92,70.91
AKAM US 1/18/2019 C77.5 Equity,4/25/2018,,5.6500001,4.94999981,0.32153000000000004,70.7,70.69
AKAM US 1/18/2019 C77.5 Equity,4/26/2018,,6.0999999,5.5999999,0.32537,71.56,71.55
AKAM US 1/18/2019 C77.5 Equity,4/27/2018,,5.94999981,5.0,0.32726999999999995,71.17,71.16
AKAM US 1/18/2019 C77.5 Equity,4/30/2018,,6.3499999,5.44999981,0.33292,71.87,71.86
AKAM US 1/18/2019 C77.5 Equity,5/1/2018,,5.25,4.6500001,0.30873,70.67,70.66
AKAM US 1/18/2019 C77.5 Equity,5/2/2018,,5.5,4.6500001,0.30253,71.62,71.61
AKAM US 1/18/2019 C77.5 Equity,5/3/2018,,5.44999981,5.0,0.30695,71.31,71.3
AKAM US 1/18/2019 C77.5 Equity,5/4/2018,,6.0,5.1500001,0.31769000000000003,72.01,72.0
AKAM US 1/18/2019 C77.5 Equity,5/7/2018,,6.1500001,5.6500001,0.30487,73.04,73.03
AKAM US 1/18/2019 C77.5 Equity,5/8/2018,,6.69999981,6.0999999,0.31694,73.57,73.56
AKAM US 1/18/2019 C77.5 Equity,5/9/2018,,8.64999962,7.849999900000001,0.31713,77.26,77.25
AKAM US 1/18/2019 C77.5 Equity,5/10/2018,,8.14999962,7.349999900000001,0.31695,76.38,76.37
AKAM US 1/18/2019 C77.5 Equity,5/11/2018,,8.10000038,7.400000099999999,0.31736000000000003,76.32,76.31
AKAM US 1/18/2019 C77.5 Equity,5/14/2018,,8.19999981,7.349999900000001,0.31452,76.7,76.69
AKAM US 1/18/2019 C77.5 Equity,5/15/2018,,7.75,7.30000019,0.30805,76.2,76.19
AKAM US 1/18/2019 C77.5 Equity,5/16/2018,,7.0,6.19999981,0.31553000000000003,74.45,74.44
AKAM US 1/18/2019 C77.5 Equity,5/17/2018,,7.69999981,7.30000019,0.30876,76.1,76.09
AKAM US 1/18/2019 C77.5 Equity,5/18/2018,,7.25,6.599999900000001,0.30801999999999996,75.34,75.33
AKAM US 1/18/2019 C77.5 Equity,5/21/2018,,7.69999981,7.5,0.30241,76.49,76.48
AKAM US 1/18/2019 C77.5 Equity,5/22/2018,,7.69999981,7.44999981,0.30626,76.32,76.31
AKAM US 1/18/2019 C77.5 Equity,5/23/2018,,8.10000038,7.5,0.30869,76.99,76.98
AKAM US 1/18/2019 C77.5 Equity,5/24/2018,,8.19999981,7.94999981,0.30202,77.49,77.48
AKAM US 1/18/2019 C77.5 Equity,5/25/2018,,7.55000019,7.30000019,0.29972,76.48,76.47
AKAM US 1/18/2019 C77.5 Equity,5/28/2018,,7.55000019,7.30000019,0.29972,76.48,76.47
AKAM US 1/18/2019 C77.5 Equity,5/29/2018,,7.25,6.900000099999999,0.3046,75.85,75.84
AKAM US 1/18/2019 C77.5 Equity,5/30/2018,,8.30000019,6.69999981,0.34347,76.12,76.11
AKAM US 1/18/2019 C77.5 Equity,5/31/2018,,6.849999900000001,6.4000001,0.30058,75.39,75.38
AKAM US 1/18/2019 C77.5 Equity,6/1/2018,,7.19999981,6.55000019,0.30283000000000004,76.01,76.0
AKAM US 1/18/2019 C77.5 Equity,6/4/2018,,7.55000019,6.900000099999999,0.29774,77.0,76.99
AKAM US 1/18/2019 C77.5 Equity,6/5/2018,,8.75,8.0,0.2984,79.06,79.05
AKAM US 1/18/2019 C77.5 Equity,6/6/2018,,8.35000038,7.650000099999999,0.30811,77.99,77.98
AKAM US 1/18/2019 C77.5 Equity,6/7/2018,,9.69999981,7.900000099999999,0.3591,78.27,78.26
AKAM US 1/18/2019 C77.5 Equity,6/8/2018,,8.39999962,7.80000019,0.29927,78.52,78.51
AKAM US 1/18/2019 C77.5 Equity,6/11/2018,,8.85000038,8.10000038,0.30058,79.32,79.31
AKAM US 1/18/2019 C77.5 Equity,6/12/2018,,9.60000038,9.10000038,0.29888000000000003,80.63,80.62
AKAM US 1/18/2019 C77.5 Equity,6/13/2018,,9.89999962,9.39999962,0.30364,80.95,80.94
