OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
MD US 08/17/18 C55 Equity,2/28/2018,,5.5999999,5.30000019,0.35005000000000003,55.07,55.06
MD US 08/17/18 C55 Equity,3/1/2018,,5.19999981,4.69999981,0.35242,54.35,54.34
MD US 08/17/18 C55 Equity,3/2/2018,,5.5999999,4.80000019,0.35914,54.91,54.9
MD US 08/17/18 C55 Equity,3/5/2018,,5.30000019,4.69999981,0.34991,54.76,54.75
MD US 08/17/18 C55 Equity,3/6/2018,,6.19999981,5.5,0.35363,56.24,56.23
MD US 08/17/18 C55 Equity,3/7/2018,,6.80000019,6.30000019,0.35471,57.21,57.2
MD US 08/17/18 C55 Equity,3/8/2018,,9.5,4.80000019,0.50179,58.12,58.11
MD US 08/17/18 C55 Equity,3/9/2018,,7.099999900000001,6.30000019,0.36074,57.57,57.56
MD US 08/17/18 C55 Equity,3/12/2018,,7.19999981,4.9000001,0.31951,58.74,58.73
MD US 08/17/18 C55 Equity,3/13/2018,,7.80000019,6.19999981,0.42239,57.55,57.54
MD US 08/17/18 C55 Equity,3/14/2018,,7.69999981,6.0,0.4232199999999999,57.37,57.36
MD US 08/17/18 C55 Equity,3/15/2018,,8.0,5.69999981,0.44331,57.5,57.49
MD US 08/17/18 C55 Equity,3/16/2018,,7.80000019,4.4000001,0.4284399999999999,57.5,57.49
MD US 08/17/18 C55 Equity,3/19/2018,,7.30000019,5.0999999,0.4323699999999999,56.75,56.74
MD US 08/17/18 C55 Equity,3/20/2018,,6.4000001,4.5999999,0.39892,56.01,56.0
MD US 08/17/18 C55 Equity,3/21/2018,,7.19999981,4.80000019,0.44047,56.39,56.38
MD US 08/17/18 C55 Equity,3/22/2018,,6.19999981,4.0,0.42361,55.12,55.11
MD US 08/17/18 C55 Equity,3/23/2018,,6.80000019,3.5999999,0.49515,54.49,54.48
MD US 08/17/18 C55 Equity,3/26/2018,,5.80000019,4.30000019,0.39913,55.14,55.13
MD US 08/17/18 C55 Equity,3/27/2018,,5.69999981,4.0999998999999985,0.41237,54.8,54.79
MD US 08/17/18 C55 Equity,3/28/2018,,6.19999981,4.5,0.41678,55.53,55.52
MD US 08/17/18 C55 Equity,3/29/2018,,6.0999999,4.5999999,0.40166,55.71,55.7
MD US 08/17/18 C55 Equity,3/30/2018,,6.0999999,4.5999999,0.40166,55.71,55.7
MD US 08/17/18 C55 Equity,4/2/2018,,4.80000019,3.5,0.36669,54.46,54.45
MD US 08/17/18 C55 Equity,4/3/2018,,6.0999999,3.9000001,0.45177,55.1,55.09
MD US 08/17/18 C55 Equity,4/4/2018,,7.0,2.29999995,0.52007,55.21,55.2
MD US 08/17/18 C55 Equity,4/5/2018,,6.4000001,4.30000019,0.4449300000000001,55.84,55.83
MD US 08/17/18 C55 Equity,4/6/2018,,5.0,1.89999998,0.37551,54.66,54.65
MD US 08/17/18 C55 Equity,4/9/2018,,5.5,4.0,0.4333600000000001,54.21,54.2
MD US 08/17/18 C55 Equity,4/10/2018,,4.69999981,3.0,0.39686,53.62,53.61
MD US 08/17/18 C55 Equity,4/11/2018,,4.19999981,2.9000001,0.38017,53.16,53.15
MD US 08/17/18 C55 Equity,4/12/2018,,4.0,2.79999995,0.35814,53.52,53.51
