OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
HAIN US 01/18/19 C15 Equity,7/30/2018,,16.10000038,11.80000019,1.2870400000000002,28.58,28.57
HAIN US 01/18/19 C15 Equity,7/31/2018,,16.10000038,11.60000038,1.32555,28.44,28.43
HAIN US 01/18/19 C15 Equity,8/1/2018,,15.39999962,10.69999981,1.3235700000000001,27.66,27.65
HAIN US 01/18/19 C15 Equity,8/2/2018,,15.80000019,11.39999962,1.24837,28.48,28.47
HAIN US 01/18/19 C15 Equity,8/3/2018,,16.89999962,12.5,1.31484,29.46,29.45
HAIN US 01/18/19 C15 Equity,8/6/2018,,16.89999962,12.39999962,1.3171799999999998,29.49,29.48
HAIN US 01/18/19 C15 Equity,8/7/2018,,17.60000038,13.19999981,1.3270899999999999,30.26,30.25
HAIN US 01/18/19 C15 Equity,8/8/2018,,16.70000076,12.39999962,1.38519,29.01,29.0
HAIN US 01/18/19 C15 Equity,8/9/2018,,16.20000076,11.69999981,1.3857,28.46,28.45
HAIN US 01/18/19 C15 Equity,8/10/2018,,15.69999981,11.19999981,1.34531,28.08,28.07
HAIN US 01/18/19 C15 Equity,8/13/2018,,15.80000019,11.39999962,1.30502,28.43,28.42
HAIN US 01/18/19 C15 Equity,8/14/2018,,16.39999962,12.0,1.37796,28.81,28.8
HAIN US 01/18/19 C15 Equity,8/15/2018,,15.80000019,11.80000019,1.28706,28.53,28.52
HAL US 01/18/19 C40 Equity,9/15/2016,,9.30000019,8.39999962,0.35218000000000005,41.8,41.79
HAL US 01/18/19 C40 Equity,9/16/2016,,8.69999981,8.05000019,0.34580999999999995,41.05,41.04
HAL US 01/18/19 C40 Equity,9/19/2016,,9.19999981,8.0,0.3606800000000001,41.34,41.33
HAL US 01/18/19 C40 Equity,9/20/2016,,9.19999981,7.599999900000001,0.36225,41.34,41.33
HAL US 01/18/19 C40 Equity,9/21/2016,,9.94999981,8.19999981,0.35618,42.75,42.74
HAL US 01/18/19 C40 Equity,9/22/2016,,10.25,8.69999981,0.36751,42.67,42.66
HAL US 01/18/19 C40 Equity,9/23/2016,,9.39999962,8.39999962,0.35107,41.91,41.9
HAL US 01/18/19 C40 Equity,9/26/2016,,9.25,8.25,0.35776,41.46,41.45
HAL US 01/18/19 C40 Equity,9/27/2016,,8.35000038,7.849999900000001,0.33524,40.92,40.91
HAL US 01/18/19 C40 Equity,9/28/2016,,10.10000038,8.5,0.35955,42.84,42.83
HAL US 01/18/19 C40 Equity,9/29/2016,,11.05000019,9.5,0.3623900000000001,44.24,44.23
HAL US 01/18/19 C40 Equity,9/30/2016,,10.94999981,9.94999981,0.3407,44.93,44.92
HAL US 01/18/19 C40 Equity,10/3/2016,,11.30000019,10.19999981,0.3543,44.92,44.91
HAL US 01/18/19 C40 Equity,10/4/2016,,11.0,9.89999962,0.35122,44.55,44.54
HAL US 01/18/19 C40 Equity,10/5/2016,,11.85000038,10.60000038,0.35166,45.78,45.77
HAL US 01/18/19 C40 Equity,10/6/2016,,12.0,10.85000038,0.34225,46.35,46.34
HAL US 01/18/19 C40 Equity,10/7/2016,,12.25,11.10000038,0.35384,46.34,46.33
HAL US 01/18/19 C40 Equity,10/10/2016,,12.55000019,11.55000019,0.33935000000000004,47.28,47.27
HAL US 01/18/19 C40 Equity,10/11/2016,,12.39999962,11.25,0.35351,46.57,46.56
HAL US 01/18/19 C40 Equity,10/12/2016,,12.80000019,11.14999962,0.36294,46.87,46.86
HAL US 01/18/19 C40 Equity,10/13/2016,,12.69999981,11.14999962,0.35739000000000004,46.96,46.95
HAL US 01/18/19 C40 Equity,10/14/2016,,12.85000038,11.55000019,0.35993,47.07,47.06
HAL US 01/18/19 C40 Equity,10/17/2016,,12.14999962,11.19999981,0.3514,46.32,46.31
HAL US 01/18/19 C40 Equity,10/18/2016,,12.5,11.39999962,0.34740000000000004,47.07,47.06
HAL US 01/18/19 C40 Equity,10/19/2016,,14.19999981,13.05000019,0.35744000000000004,49.09,49.08
HAL US 01/18/19 C40 Equity,10/20/2016,,14.05000019,12.64999962,0.36130999999999996,48.78,48.77
