,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
69,NBIX US 08/17/18 C100 Equity,3/23/2018,,81.61000061,2.75,0.8161000061,3.3,42.21
70,NBIX US 08/17/18 C100 Equity,3/26/2018,,83.13999939,2.25,0.8313999939,3.71,42.36
71,NBIX US 08/17/18 C100 Equity,3/27/2018,,81.30000305,2.3499999,0.8130000305,3.3,43.22
72,NBIX US 08/17/18 C100 Equity,3/28/2018,,83.26999664,2.70000005,0.8326999664,3.5,41.4
73,NBIX US 08/17/18 C100 Equity,3/29/2018,,83.13999939,2.5999999,0.8313999939,3.41,41.22
74,NBIX US 08/17/18 C100 Equity,3/30/2018,,83.13999939,2.5999999,0.8313999939,3.41,41.22
75,NBIX US 08/17/18 C100 Equity,4/2/2018,,78.19000244,2.0,0.7819000244000001,2.66,45.12
76,NBIX US 08/17/18 C100 Equity,4/3/2018,,77.27999878,1.39999998,0.7727999878,2.71,47.11
77,NBIX US 08/17/18 C100 Equity,4/4/2018,,80.05999756,2.04999995,0.8005999756,2.46,41.27
78,NBIX US 08/17/18 C100 Equity,4/5/2018,,79.91999817,1.64999998,0.7991999817,2.66,42.92
79,NBIX US 08/17/18 C100 Equity,4/6/2018,,77.08999634,1.64999998,0.7708999634,2.25,44.85
80,NBIX US 08/17/18 C100 Equity,4/9/2018,,79.23999786,1.85000002,0.7923999786,2.55,44.17
81,NBIX US 08/17/18 C100 Equity,4/10/2018,,77.62999725,1.70000005,0.7762999725,2.21,44.43
82,NBIX US 08/17/18 C100 Equity,4/11/2018,,76.51999664,1.45000005,0.7651999664,1.86,43.64
83,NBIX US 08/17/18 C100 Equity,4/12/2018,,76.0,0.94999999,0.76,1.9,44.9
84,NBIX US 08/17/18 C100 Equity,4/13/2018,,75.30000305,0.1,0.7530000305,2.75,52.81
85,NBIX US 08/17/18 C100 Equity,4/16/2018,,75.36000061,0.1,0.7536000061,2.25,49.48
86,NBIX US 08/17/18 C100 Equity,4/17/2018,,76.73999786,0.25,0.7673999786,2.6,50.53
87,NBIX US 08/17/18 C100 Equity,4/18/2018,,79.91999817,0.94999999,0.7991999817,3.41,50.93
88,NBIX US 08/17/18 C100 Equity,4/19/2018,,78.11000061,0.69999999,0.7811000061,3.5,54.71
89,NBIX US 08/17/18 C100 Equity,4/20/2018,,79.43000031,0.69999999,0.7943000030999999,2.6,46.84
90,NBIX US 08/17/18 C100 Equity,4/23/2018,,81.38999939,1.04999995,0.8138999939,3.8,52.1
91,NBIX US 08/17/18 C100 Equity,4/24/2018,,78.41999817,0.85000002,0.7841999817,2.41,47.23
92,NBIX US 08/17/18 C100 Equity,4/25/2018,,77.98999786,0.15000001,0.7798999786,3.1,53.46
93,NBIX US 08/17/18 C100 Equity,4/26/2018,,79.45500183,0.5,0.7945500183,3.21,51.89
94,NBIX US 08/17/18 C100 Equity,4/27/2018,,81.69999695,0.85000002,0.8169999695,3.8,52.35
95,NBIX US 08/17/18 C100 Equity,4/30/2018,,81.26999664,1.04999995,0.8126999664,2.8,46.99
96,NBIX US 08/17/18 C100 Equity,5/1/2018,,84.63999939,0.94999999,0.8463999939,2.85,41.3
97,NBIX US 08/17/18 C100 Equity,5/2/2018,,80.08000183,0.80000001,0.8008000183,3.1,51.31
98,NBIX US 08/17/18 C100 Equity,5/3/2018,,80.16000366,0.05,0.8016000366,2.5,46.9
99,NBIX US 08/17/18 C100 Equity,5/4/2018,,83.08000183,1.20000005,0.8308000183,2.05,39.6
100,NBIX US 08/17/18 C100 Equity,5/7/2018,,83.53500366,1.45000005,0.8353500366,2.0,38.96
101,NBIX US 08/17/18 C100 Equity,5/8/2018,,82.98249817,0.44999999,0.8298249817,2.0,39.91
102,NBIX US 08/17/18 C100 Equity,5/9/2018,,86.5,2.04999995,0.865,2.41,36.2
103,NBIX US 08/17/18 C100 Equity,5/10/2018,,87.5,2.25,0.875,2.6,36.01
104,NBIX US 08/17/18 C100 Equity,5/11/2018,,90.30000305,3.0,0.9030000305,3.41,35.87
105,NBIX US 08/17/18 C100 Equity,5/14/2018,,91.01000214,3.0999999,0.9101000214,3.91,37.93
106,NBIX US 08/17/18 C100 Equity,5/15/2018,,92.75,3.70000005,0.9275,4.41,37.45
