,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
0,LAMR US 01/18/19 C50 Equity,5/21/2018,,20.0,16.10000038,0.43231,68.92,68.91
1,LAMR US 01/18/19 C50 Equity,5/22/2018,,19.29999924,17.0,0.42118,68.27,68.26
2,LAMR US 01/18/19 C50 Equity,5/23/2018,,18.39999962,17.70000076,0.35387,67.99,67.98
3,LAMR US 01/18/19 C50 Equity,5/24/2018,,18.5,17.20000076,0.39405999999999997,67.71,67.7
4,LAMR US 01/18/19 C50 Equity,5/25/2018,,19.0,18.39999962,0.36292,68.62,68.61
5,LAMR US 01/18/19 C50 Equity,5/28/2018,,19.0,18.39999962,0.36292,68.62,68.61
6,LAMR US 01/18/19 C50 Equity,5/29/2018,,20.0,18.5,0.4675,68.63,68.62
7,LAMR US 01/18/19 C50 Equity,5/30/2018,,20.0,19.20000076,0.38433,69.63,69.62
8,LAMR US 01/18/19 C50 Equity,5/31/2018,,21.39999962,17.10000038,0.53473,69.31,69.3
9,LAMR US 01/18/19 C50 Equity,6/1/2018,,21.0,19.70000076,0.43463,70.26,70.25
10,LAMR US 01/18/19 C50 Equity,6/4/2018,,21.0,19.79999924,0.43358,70.31,70.3
11,LAMR US 01/18/19 C50 Equity,6/5/2018,,21.29999924,20.0,0.41503,70.87,70.86
12,LAMR US 01/18/19 C50 Equity,6/6/2018,,22.10000038,19.10000038,0.4386,71.54,71.53
13,LAMR US 01/18/19 C50 Equity,6/7/2018,,23.70000076,19.29999924,0.5832,71.48,71.47
14,LAMR US 01/18/19 C50 Equity,6/8/2018,,23.10000038,21.5,0.44703000000000004,72.59,72.58
15,LAMR US 01/18/19 C50 Equity,6/11/2018,,23.10000038,22.0,0.46567000000000003,72.43,72.42
16,LAMR US 01/18/19 C50 Equity,6/12/2018,,23.79999924,22.39999962,0.45578,73.34,73.33
17,LAMR US 01/18/19 C50 Equity,6/13/2018,,22.79999924,20.89999962,0.4914,71.78,71.77
18,LAMR US 01/18/19 C50 Equity,6/14/2018,,22.89999962,21.10000038,0.48402,71.16,71.15
19,LAMR US 01/18/19 C50 Equity,6/15/2018,,23.10000038,19.0,0.5483899999999999,70.57,70.56
20,LAMR US 01/18/19 C50 Equity,6/18/2018,,22.5,18.79999924,0.5464600000000001,69.96,69.95
21,LAMR US 01/18/19 C50 Equity,6/19/2018,,21.10000038,19.29999924,0.49993000000000004,68.98,68.97
22,LAMR US 01/18/19 C50 Equity,6/20/2018,,21.79999924,17.5,0.5270199999999999,69.45,69.44
23,LAMR US 01/18/19 C50 Equity,6/21/2018,,22.10000038,17.5,0.55286,69.46,69.45
24,LAMR US 01/18/19 C50 Equity,6/22/2018,,21.89999962,17.70000076,0.54667,69.34,69.33
25,LAMR US 01/18/19 C50 Equity,6/25/2018,,20.79999924,17.89999962,0.50943,68.63,68.62
26,LAMR US 01/18/19 C50 Equity,6/26/2018,,21.10000038,18.0,0.54243,68.55,68.54
27,LAMR US 01/18/19 C50 Equity,6/27/2018,,19.10000038,17.20000076,0.42619,67.71,67.7
28,LAMR US 01/18/19 C50 Equity,6/28/2018,,20.29999924,16.29999924,0.48688999999999993,68.42,68.41
29,LAMR US 01/18/19 C50 Equity,6/29/2018,,20.10000038,17.39999962,0.47653999999999996,68.34,68.33
30,LAMR US 01/18/19 C50 Equity,7/2/2018,,20.5,17.79999924,0.5251600000000001,68.24,68.23
31,LAMR US 01/18/19 C50 Equity,7/3/2018,,19.60000038,17.70000076,0.44748999999999994,68.19,68.18
32,LAMR US 01/18/19 C50 Equity,7/4/2018,,19.60000038,17.70000076,0.44748999999999994,68.19,68.18
33,LAMR US 01/18/19 C50 Equity,7/5/2018,,21.0,18.10000038,0.51849,68.99,68.98
34,LAMR US 01/18/19 C50 Equity,7/6/2018,,21.60000038,19.0,0.50153,69.9,69.89
35,LAMR US 01/18/19 C50 Equity,7/9/2018,,21.60000038,17.5,0.56508,69.17,69.16
36,LAMR US 01/18/19 C50 Equity,7/10/2018,,22.0,17.5,0.55373,69.81,69.8
37,LAMR US 01/18/19 C50 Equity,7/11/2018,,21.20000076,19.20000076,0.46641000000000005,69.92,69.91
38,LAMR US 01/18/19 C50 Equity,7/12/2018,,22.60000038,19.60000038,0.56699,70.39,70.38
39,LAMR US 01/18/19 C50 Equity,7/13/2018,,22.60000038,20.5,0.48729,71.32,71.31
40,LAMR US 01/18/19 C50 Equity,7/16/2018,,24.0,19.60000038,0.5954,71.76,71.75
41,LAMR US 01/18/19 C50 Equity,7/17/2018,,24.39999962,21.0,0.60218,72.17,72.16
42,LAMR US 01/18/19 C50 Equity,7/18/2018,,23.39999962,20.60000038,0.5773199999999999,71.34,71.33
43,LAMR US 01/18/19 C50 Equity,7/19/2018,,23.5,21.60000038,0.50621,72.26,72.25
44,LAMR US 01/18/19 C50 Equity,7/20/2018,,22.79999924,19.60000038,0.49007,71.64,71.63
45,LAMR US 01/18/19 C50 Equity,7/23/2018,,23.39999962,21.0,0.56305,71.6,71.59
46,LAMR US 01/18/19 C50 Equity,7/24/2018,,23.89999962,19.5,0.62969,71.41,71.4
47,LAMR US 01/18/19 C50 Equity,7/25/2018,,24.29999924,19.70000076,0.64581,71.7,71.69
48,LAMR US 01/18/19 C50 Equity,7/26/2018,,25.20000076,20.89999962,0.62529,73.06,73.05
49,LAMR US 01/18/19 C50 Equity,7/27/2018,,24.89999962,20.39999962,0.65553,72.35,72.34
50,LAMR US 01/18/19 C50 Equity,7/30/2018,,24.89999962,20.60000038,0.63289,72.7,72.69
51,LAMR US 01/18/19 C50 Equity,7/31/2018,,24.89999962,22.5,0.56328,73.52,73.51
52,LAMR US 01/18/19 C50 Equity,8/1/2018,,24.79999924,22.20000076,0.58229,73.24,73.23
53,LAMR US 01/18/19 C50 Equity,8/2/2018,,23.29999924,21.10000038,0.51986,72.2,72.19
54,LAMR US 01/18/19 C50 Equity,8/3/2018,,24.60000038,20.20000076,0.66983,72.05,72.04
55,LAMR US 01/18/19 C50 Equity,8/6/2018,,24.60000038,20.10000038,0.6655,72.2,72.19
56,LAMR US 01/18/19 C50 Equity,8/7/2018,,24.10000038,21.29999924,0.5586,72.84,72.83
57,LAMR US 01/18/19 C50 Equity,8/8/2018,,25.20000076,21.79999924,0.6430199999999999,73.23,73.22
58,LAMR US 01/18/19 C50 Equity,8/9/2018,,25.0,20.60000038,0.66712,72.76,72.75
59,LAMR US 01/18/19 C50 Equity,8/10/2018,,24.79999924,20.60000038,0.63489,72.95,72.94
60,LAMR US 01/18/19 C50 Equity,8/13/2018,,25.29999924,22.10000038,0.63873,73.56,73.55
61,LAMR US 01/18/19 C50 Equity,8/14/2018,,26.10000038,24.10000038,0.57825,75.06,75.05
62,LAMR US 01/18/19 C50 Equity,8/15/2018,,26.79999924,23.29999924,0.6368600000000001,75.34,75.33
63,LAMR US 01/18/19 C50 Equity,8/16/2018,,27.89999962,23.60000038,0.6368600000000001,75.34,75.33
64,LAZ US 01/18/19 C33 Equity,6/29/2018,,16.60000038,16.20000076,0.45916,49.0,48.99
65,LAZ US 01/18/19 C33 Equity,7/2/2018,,16.79999924,15.69999981,0.49082000000000003,49.03,49.02
66,LAZ US 01/18/19 C33 Equity,7/3/2018,,16.79999924,15.69999981,0.4889,49.09,49.08
67,LAZ US 01/18/19 C33 Equity,7/4/2018,,16.79999924,15.69999981,0.4889,49.09,49.08
68,LAZ US 01/18/19 C33 Equity,7/5/2018,,16.89999962,16.20000076,0.46417,49.37,49.36
69,LAZ US 01/18/19 C33 Equity,7/6/2018,,17.79999924,16.89999962,0.52194,50.01,50.0
70,LAZ US 01/18/19 C33 Equity,7/9/2018,,18.70000076,17.79999924,0.5047999999999999,51.12,51.11
71,LAZ US 01/18/19 C33 Equity,7/10/2018,,18.39999962,17.29999924,0.49231,50.91,50.9
72,LAZ US 01/18/19 C33 Equity,7/11/2018,,18.0,17.10000038,0.49008,50.46,50.45
73,LAZ US 01/18/19 C33 Equity,7/12/2018,,17.70000076,16.70000076,0.50665,50.05,50.04
74,LAZ US 01/18/19 C33 Equity,7/13/2018,,17.79999924,16.29999924,0.52694,50.05,50.04
75,LAZ US 01/18/19 C33 Equity,7/16/2018,,17.89999962,16.89999962,0.47163000000000005,50.5,50.49
76,LAZ US 01/18/19 C33 Equity,7/17/2018,,19.39999962,16.70000076,0.63884,51.09,51.08
77,LAZ US 01/18/19 C33 Equity,7/18/2018,,19.20000076,18.60000038,0.47201,51.91,51.9
78,LAZ US 01/18/19 C33 Equity,7/19/2018,,18.39999962,17.70000076,0.51984,50.82,50.81
79,LAZ US 01/18/19 C33 Equity,7/20/2018,,18.60000038,17.10000038,0.5593100000000001,50.8,50.79
80,LAZ US 01/18/19 C33 Equity,7/23/2018,,19.10000038,17.79999924,0.54181,51.51,51.5
81,LAZ US 01/18/19 C33 Equity,7/24/2018,,19.60000038,18.60000038,0.5269699999999999,52.14,52.13
82,LAZ US 01/18/19 C33 Equity,7/25/2018,,21.70000076,17.60000038,0.8170499999999999,52.35,52.34
83,LAZ US 01/18/19 C33 Equity,7/26/2018,,20.89999962,19.5,0.5695600000000001,53.37,53.36
84,LAZ US 01/18/19 C33 Equity,7/27/2018,,20.29999924,19.29999924,0.5473699999999999,52.85,52.84
85,LAZ US 01/18/19 C33 Equity,7/30/2018,,20.60000038,19.79999924,0.53523,53.26,53.25
86,LAZ US 01/18/19 C33 Equity,7/31/2018,,21.60000038,20.39999962,0.54557,54.28,54.27
87,LAZ US 01/18/19 C33 Equity,8/1/2018,,21.39999962,19.5,0.66203,53.39,53.38
88,LAZ US 01/18/19 C33 Equity,8/2/2018,,20.29999924,19.20000076,0.56521,52.8,52.79
89,LAZ US 01/18/19 C33 Equity,8/3/2018,,20.5,19.20000076,0.48122,52.98,52.97
90,LAZ US 01/18/19 C33 Equity,8/6/2018,,20.70000076,20.0,0.5029399999999999,53.14,53.13
