,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
0,VIAB US 01/18/19 C12.5 Equity,11/6/2017,,14.0,8.5,0.9508,24.19,24.18
1,VIAB US 01/18/19 C12.5 Equity,11/7/2017,,14.30000019,11.39999962,0.90509,24.8,24.79
2,VIAB US 01/18/19 C12.5 Equity,11/8/2017,,12.89999962,10.10000038,0.71898,24.29,24.28
3,VIAB US 01/18/19 C12.5 Equity,11/9/2017,,14.5,10.5,0.9602299999999999,24.73,24.72
4,VIAB US 01/18/19 C12.5 Equity,11/10/2017,,14.39999962,10.39999962,0.91633,24.89,24.88
5,VIAB US 01/18/19 C12.5 Equity,11/13/2017,,14.0,11.19999981,0.87323,24.73,24.72
6,VIAB US 01/18/19 C12.5 Equity,11/14/2017,,13.89999962,11.69999981,0.88455,24.55,24.54
7,VIAB US 01/18/19 C12.5 Equity,11/15/2017,,13.69999981,10.30000019,0.84619,24.57,24.56
8,VIAB US 01/18/19 C12.5 Equity,11/16/2017,,13.30000019,9.60000038,0.92316,23.65,23.64
9,VIAB US 01/18/19 C12.5 Equity,11/17/2017,,14.89999962,11.60000038,0.8049600000000001,26.15,26.14
10,VIAB US 01/18/19 C12.5 Equity,11/20/2017,,15.80000019,11.80000019,0.97721,26.19,26.18
11,VIAB US 01/18/19 C12.5 Equity,11/21/2017,,16.10000038,12.60000038,0.8534200000000002,27.26,27.25
12,VIAB US 01/18/19 C12.5 Equity,11/22/2017,,15.80000019,12.89999962,0.8987799999999999,26.66,26.65
13,VIAB US 01/18/19 C12.5 Equity,11/23/2017,,15.80000019,12.89999962,0.8987799999999999,26.66,26.65
14,VIAB US 01/18/19 C12.5 Equity,11/24/2017,,15.89999962,12.60000038,0.97976,26.3,26.29
15,VIAB US 01/18/19 C12.5 Equity,11/27/2017,,14.89999962,13.19999981,0.7299500000000001,26.56,26.55
16,VIAB US 01/18/19 C12.5 Equity,11/28/2017,,16.89999962,12.19999981,1.0563799999999999,27.04,27.03
17,VIAB US 01/18/19 C12.5 Equity,11/29/2017,,17.60000038,13.69999981,0.94882,28.41,28.4
18,VIAB US 01/18/19 C12.5 Equity,11/30/2017,,16.89999962,13.69999981,0.81517,28.35,28.34
19,VIAB US 01/18/19 C12.5 Equity,12/1/2017,,18.10000038,14.30000019,1.05598,28.4,28.39
20,VIAB US 01/18/19 C12.5 Equity,12/4/2017,,19.10000038,15.0,1.11229,29.23,29.22
21,VIAB US 01/18/19 C12.5 Equity,12/5/2017,,19.0,14.69999981,1.14303,28.93,28.92
22,VIAB US 01/18/19 C12.5 Equity,12/6/2017,,18.5,14.60000038,1.03705,28.97,28.96
