,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
44,CNA US 08/17/18 C28 Equity,2/16/2018,,53.72000122,23.39999962,53.72000122,24.0,57.66
45,CNA US 08/17/18 C28 Equity,2/19/2018,,53.72000122,23.39999962,53.72000122,24.0,57.66
46,CNA US 08/17/18 C28 Equity,2/20/2018,,53.31999969,23.0,53.31999969,23.61,57.12
47,CNA US 08/17/18 C28 Equity,2/21/2018,,53.54000092,23.20000076,53.54000092,23.8,56.88
48,CNA US 08/17/18 C28 Equity,2/22/2018,,52.81999969,22.60000038,52.81999969,23.11,56.6
49,CNA US 08/17/18 C28 Equity,2/23/2018,,51.11999893,23.0,51.11999893,23.61,58.55
50,CNA US 08/17/18 C28 Equity,2/26/2018,,52.02000046,23.89999962,52.02000046,24.5,60.67
51,CNA US 08/17/18 C28 Equity,2/27/2018,,51.70999908,23.5,51.70999908,24.21,60.68
52,CNA US 08/17/18 C28 Equity,2/28/2018,,51.15000153,23.0,51.15000153,23.5,55.13
53,CNA US 08/17/18 C28 Equity,3/1/2018,,50.09999847,22.0,50.09999847,22.61,59.18
54,CNA US 08/17/18 C28 Equity,3/2/2018,,50.24000168,22.10000038,50.24000168,22.71,58.46
55,CNA US 08/17/18 C28 Equity,3/5/2018,,51.49000168,23.39999962,51.49000168,24.0,62.45
56,CNA US 08/17/18 C28 Equity,3/6/2018,,51.91999817,23.79999924,51.91999817,24.4,62.34
57,CNA US 08/17/18 C28 Equity,3/7/2018,,52.44499969,24.10000038,52.44499969,24.8,58.73
58,CNA US 08/17/18 C28 Equity,3/8/2018,,52.66999817,24.39999962,52.66999817,25.0,58.39
59,CNA US 08/17/18 C28 Equity,3/9/2018,,53.54000092,25.39999962,53.54000092,26.0,64.63
60,CNA US 08/17/18 C28 Equity,3/12/2018,,53.13000107,25.0,53.13000107,25.5,61.35
61,CNA US 08/17/18 C28 Equity,3/13/2018,,52.72999954,24.5,52.72999954,25.11,60.76
62,CNA US 08/17/18 C28 Equity,3/14/2018,,52.40999985,24.20000076,52.40999985,24.8,61.37
63,CNA US 08/17/18 C28 Equity,3/15/2018,,52.20000076,24.0,52.20000076,24.5,57.63
64,CNA US 08/17/18 C28 Equity,3/16/2018,,52.00999832,23.89999962,52.00999832,24.4,61.07
