OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
HCA US 01/18/19 C105 Equity,11/17/2016,,74.69000244,3.20000005,0.7469000244,4.2,27.28
HCA US 01/18/19 C105 Equity,11/18/2016,,72.41999817,3.29999995,0.7241999817,4.81,30.42
HCA US 01/18/19 C105 Equity,11/21/2016,,72.93990326,2.8499999,0.7293990325999999,4.31,28.74
HCA US 01/18/19 C105 Equity,11/22/2016,,70.12000275,2.3499999,0.7012000275,4.1,30.37
HCA US 01/18/19 C105 Equity,11/23/2016,,71.0,2.3499999,0.71,3.91,29.24
HCA US 01/18/19 C105 Equity,11/24/2016,,71.0,2.3499999,0.71,3.91,29.24
HCA US 01/18/19 C105 Equity,11/25/2016,,71.45999908,2.45000005,0.7145999908,3.6,27.97
HCA US 01/18/19 C105 Equity,11/28/2016,,70.37999725,2.4000001,0.7037999725,3.6,28.83
HCA US 01/18/19 C105 Equity,11/29/2016,,71.55999756,2.1500001,0.7155999756,3.3,27.1
HCA US 01/18/19 C105 Equity,11/30/2016,,71.00499725,2.45000005,0.7100499725,3.6,28.42
HCA US 01/18/19 C105 Equity,12/1/2016,,71.18000031,2.5,0.7118000031,3.5,27.96
HCA US 01/18/19 C105 Equity,12/2/2016,,70.30000305,2.70000005,0.7030000305,3.6,28.85
HCA US 01/18/19 C105 Equity,12/5/2016,,70.58999634,2.4000001,0.7058999633999999,3.41,28.06
HCA US 01/18/19 C105 Equity,12/6/2016,,71.27999878,2.4000001,0.7127999878,3.41,27.71
HCA US 01/18/19 C105 Equity,12/7/2016,,71.80000305,2.5,0.7180000305,4.0,29.25
HCA US 01/18/19 C105 Equity,12/8/2016,,72.48999786,2.79999995,0.7248999786,4.41,29.94
HCA US 01/18/19 C105 Equity,12/9/2016,,73.23000336,3.0999999,0.7323000336,4.7,30.14
HCA US 01/18/19 C105 Equity,12/12/2016,,73.94000244,3.20000005,0.7394000244,4.91,30.13
HCA US 01/18/19 C105 Equity,12/13/2016,,73.94999695,3.20000005,0.7394999695,4.41,28.68
HCA US 01/18/19 C105 Equity,12/14/2016,,73.04000092,2.70000005,0.7304000091999999,4.7,30.14
HCA US 01/18/19 C105 Equity,12/15/2016,,74.40989685,3.5,0.7440989684999999,4.6,28.82
HCA US 01/18/19 C105 Equity,12/16/2016,,73.75,3.5999999,0.7375,4.7,29.51
HCA US 01/18/19 C105 Equity,12/19/2016,,73.51000214,3.0999999,0.7351000214,4.31,28.66
HCA US 01/18/19 C105 Equity,12/20/2016,,73.38999939,2.75,0.7338999939,4.1,28.21
HCA US 01/18/19 C105 Equity,12/21/2016,,73.54000092,3.0999999,0.7354000091999999,4.1,28.13
HCA US 01/18/19 C105 Equity,12/22/2016,,73.89009857,2.79999995,0.7389009857000001,4.2,28.16
HCA US 01/18/19 C105 Equity,12/23/2016,,74.44999695,2.9000001,0.7444999695,4.1,27.66
HCA US 01/18/19 C105 Equity,12/26/2016,,74.44999695,2.9000001,0.7444999695,4.1,27.66
HCA US 01/18/19 C105 Equity,12/27/2016,,74.37999725,3.0,0.7437999725000001,4.5,28.83
HCA US 01/18/19 C105 Equity,12/28/2016,,73.58999634,3.20000005,0.7358999634,5.5,32.27
HCA US 01/18/19 C105 Equity,12/29/2016,,73.91999817,2.9000001,0.7391999817,4.2,28.45
HCA US 01/18/19 C105 Equity,12/30/2016,,73.94989777,2.79999995,0.7394989777000001,4.2,28.69
HCA US 01/18/19 C105 Equity,1/2/2017,,73.94989777,2.79999995,0.7394989777000001,4.2,28.69
HCA US 01/18/19 C105 Equity,1/3/2017,,74.49500275,3.20000005,0.7449500275,4.1,27.91
HCA US 01/18/19 C105 Equity,1/4/2017,,77.12999725,3.20000005,0.7712999725,5.31,29.09
HCA US 01/18/19 C105 Equity,1/5/2017,,76.75,3.70000005,0.7675,4.91,28.37
HCA US 01/18/19 C105 Equity,1/6/2017,,76.70999908,3.70000005,0.7670999908,4.81,28.1
HCA US 01/18/19 C105 Equity,1/9/2017,,78.94000244,3.79999995,0.7894000244,5.6,28.94
HCA US 01/18/19 C105 Equity,1/10/2017,,78.30999756,3.5999999,0.7830999756,5.31,28.47
HCA US 01/18/19 C105 Equity,1/11/2017,,79.29000092,4.0,0.7929000091999999,5.2,27.32
HCA US 01/18/19 C105 Equity,1/12/2017,,79.15000153,4.099999899999999,0.7915000153,5.41,27.91
HCA US 01/18/19 C105 Equity,1/13/2017,,79.44010162,3.9000001,0.7944010161999999,5.6,28.08
HCA US 01/18/19 C105 Equity,1/16/2017,,79.44010162,3.9000001,0.7944010161999999,5.6,28.08
HCA US 01/18/19 C105 Equity,1/17/2017,,80.94000244,4.5,0.8094000244,6.1,28.42
HCA US 01/18/19 C105 Equity,1/18/2017,,79.80000305,3.70000005,0.7980000305,5.91,28.69
HCA US 01/18/19 C105 Equity,1/19/2017,,78.58999634,4.19999981,0.7858999634,6.1,30.1
